AAA041L13.genome.CDS.4,group01117
AAA041L13.genome.CDS.2889,group02297
AAA041L13.genome.CDS.2361,group00134
AAA041L13.genome.CDS.2088,group01108
AAA041L13.genome.CDS.2089,group01319
AAA041L13.genome.CDS.2084,group00975
AAA041L13.genome.CDS.2085,group00133
AAA041L13.genome.CDS.2086,group00739
AAA041L13.genome.CDS.2087,group01023
AAA041L13.genome.CDS.2080,group00461
AAA041L13.genome.CDS.2081,group00606
AAA041L13.genome.CDS.2082,group00183
AAA041L13.genome.CDS.2083,group00879
AAA041L13.genome.CDS.2868,group04553
AAA041L13.genome.CDS.2869,group01972
AAA041L13.genome.CDS.2648,group00685
AAA041L13.genome.CDS.2649,group00701
AAA041L13.genome.CDS.2862,group04552
AAA041L13.genome.CDS.2647,group00760
AAA041L13.genome.CDS.2644,group00797
AAA041L13.genome.CDS.2861,group00752
AAA041L13.genome.CDS.2866,group04554
AAA041L13.genome.CDS.2643,group00391
AAA041L13.genome.CDS.2864,group04550
AAA041L13.genome.CDS.2641,group00651
AAA041L13.genome.CDS.569,group01462
AAA041L13.genome.CDS.2260,group00138
AAA041L13.genome.CDS.2261,group01608
AAA041L13.genome.CDS.2262,group00778
AAA041L13.genome.CDS.2263,group00653
AAA041L13.genome.CDS.2264,group00813
AAA041L13.genome.CDS.2265,group00020
AAA041L13.genome.CDS.2266,group01524
AAA041L13.genome.CDS.2267,group00021
AAA041L13.genome.CDS.2268,group00838
AAA041L13.genome.CDS.2269,group01124
AAA041L13.genome.CDS.2453,group00734
AAA041L13.genome.CDS.2452,group00596
AAA041L13.genome.CDS.2450,group01211
AAA041L13.genome.CDS.2325,group04375
AAA041L13.genome.CDS.2456,group01027
AAA041L13.genome.CDS.2327,group04373
AAA041L13.genome.CDS.2326,group04374
AAA041L13.genome.CDS.2466,group00347
AAA041L13.genome.CDS.2467,group00346
AAA041L13.genome.CDS.2464,group02200
AAA041L13.genome.CDS.2465,group00658
AAA041L13.genome.CDS.2462,group00710
AAA041L13.genome.CDS.2463,group01574
AAA041L13.genome.CDS.2460,group00617
AAA041L13.genome.CDS.2461,group00551
AAA041L13.genome.CDS.1993,group02256
AAA041L13.genome.CDS.1992,group04300
AAA041L13.genome.CDS.1991,group00739
AAA041L13.genome.CDS.1990,group00417
AAA041L13.genome.CDS.1997,group01550
AAA041L13.genome.CDS.1996,group00935
AAA041L13.genome.CDS.1995,group00906
AAA041L13.genome.CDS.2469,group04398
AAA041L13.genome.CDS.2518,group00207
AAA041L13.genome.CDS.2512,group04402
AAA041L13.genome.CDS.2513,group04401
AAA041L13.genome.CDS.2511,group02521
AAA041L13.genome.CDS.2514,group04400
AAA041L13.genome.CDS.2515,group04399
AAA041L13.genome.CDS.1867,group00189
AAA041L13.genome.CDS.2751,group01514
AAA041L13.genome.CDS.2752,group00000
AAA041L13.genome.CDS.2754,group00884
AAA041L13.genome.CDS.2755,group01791
AAA041L13.genome.CDS.1861,group00276
AAA041L13.genome.CDS.1603,group00017
AAA041L13.genome.CDS.1602,group00747
AAA041L13.genome.CDS.1601,group00042
AAA041L13.genome.CDS.1600,group00746
AAA041L13.genome.CDS.1607,group01147
AAA041L13.genome.CDS.1606,group00923
AAA041L13.genome.CDS.1605,group00018
AAA041L13.genome.CDS.1604,group00702
AAA041L13.genome.CDS.1609,group01118
AAA041L13.genome.CDS.1608,group00936
AAA041L13.genome.CDS.2693,group01034
AAA041L13.genome.CDS.1987,group01037
AAA041L13.genome.CDS.2695,group04480
AAA041L13.genome.CDS.2877,group02818
AAA041L13.genome.CDS.2694,group01033
AAA041L13.genome.CDS.1982,group02265
AAA041L13.genome.CDS.1983,group01311
AAA041L13.genome.CDS.1517,group01932
AAA041L13.genome.CDS.1516,group01097
AAA041L13.genome.CDS.1515,group00430
AAA041L13.genome.CDS.1514,group00144
AAA041L13.genome.CDS.1513,group00727
AAA041L13.genome.CDS.1512,group00538
AAA041L13.genome.CDS.1511,group02206
AAA041L13.genome.CDS.1510,group00672
AAA041L13.genome.CDS.1519,group00038
AAA041L13.genome.CDS.1518,group01292
AAA041L13.genome.CDS.795,group02208
AAA041L13.genome.CDS.1779,group00446
AAA041L13.genome.CDS.1778,group04521
AAA041L13.genome.CDS.1773,group00218
AAA041L13.genome.CDS.1772,group00607
AAA041L13.genome.CDS.1771,group01093
AAA041L13.genome.CDS.1770,group00655
AAA041L13.genome.CDS.1777,group00881
AAA041L13.genome.CDS.1776,group00699
AAA041L13.genome.CDS.1775,group00249
AAA041L13.genome.CDS.1774,group00407
AAA041L13.genome.CDS.2071,group00837
AAA041L13.genome.CDS.2070,group00720
AAA041L13.genome.CDS.2073,group01045
AAA041L13.genome.CDS.2072,group00565
AAA041L13.genome.CDS.2075,group00268
AAA041L13.genome.CDS.2074,group00564
AAA041L13.genome.CDS.2077,group00326
AAA041L13.genome.CDS.2076,group00445
AAA041L13.genome.CDS.2079,group00492
AAA041L13.genome.CDS.2078,group00404
AAA041L13.genome.CDS.2673,group00292
AAA041L13.genome.CDS.2672,group00513
AAA041L13.genome.CDS.2671,group02814
AAA041L13.genome.CDS.2670,group01888
AAA041L13.genome.CDS.2677,group00204
AAA041L13.genome.CDS.2676,group00373
AAA041L13.genome.CDS.2675,group00156
AAA041L13.genome.CDS.2858,group00311
AAA041L13.genome.CDS.2857,group04548
AAA041L13.genome.CDS.2856,group00043
AAA041L13.genome.CDS.2855,group00504
AAA041L13.genome.CDS.2678,group00450
AAA041L13.genome.CDS.2853,group01447
AAA041L13.genome.CDS.2852,group02547
AAA041L13.genome.CDS.2851,group04545
AAA041L13.genome.CDS.2850,group04546
AAA041L13.genome.CDS.2215,group02548
AAA041L13.genome.CDS.2214,group04355
AAA041L13.genome.CDS.2216,group00616
AAA041L13.genome.CDS.2211,group04358
AAA041L13.genome.CDS.2210,group04359
AAA041L13.genome.CDS.2213,group04356
AAA041L13.genome.CDS.2212,group04357
AAA041L13.genome.CDS.2219,group04352
AAA041L13.genome.CDS.2218,group04353
AAA041L13.genome.CDS.2970,group04299
AAA041L13.genome.CDS.2971,group00738
AAA041L13.genome.CDS.2185,group04306
AAA041L13.genome.CDS.2184,group04307
AAA041L13.genome.CDS.2187,group04305
AAA041L13.genome.CDS.2186,group02805
AAA041L13.genome.CDS.2180,group04313
AAA041L13.genome.CDS.2183,group04308
AAA041L13.genome.CDS.2182,group04309
AAA041L13.genome.CDS.2189,group02545
AAA041L13.genome.CDS.2188,group04304
AAA041L13.genome.CDS.2329,group04371
AAA041L13.genome.CDS.2328,group04372
AAA041L13.genome.CDS.2459,group00550
AAA041L13.genome.CDS.2458,group00393
AAA041L13.genome.CDS.2321,group04379
AAA041L13.genome.CDS.2320,group04380
AAA041L13.genome.CDS.2323,group04377
AAA041L13.genome.CDS.2322,group04378
AAA041L13.genome.CDS.2457,group00374
AAA041L13.genome.CDS.2324,group04376
AAA041L13.genome.CDS.2455,group00521
AAA041L13.genome.CDS.2454,group00689
AAA041L13.genome.CDS.2871,group04555
AAA041L13.genome.CDS.2870,group04556
AAA041L13.genome.CDS.1391,group04575
AAA041L13.genome.CDS.2873,group02035
AAA041L13.genome.CDS.2650,group00324
AAA041L13.genome.CDS.2699,group04489
AAA041L13.genome.CDS.2698,group04490
AAA041L13.genome.CDS.1988,group00418
AAA041L13.genome.CDS.1989,group00528
AAA041L13.genome.CDS.2691,group00086
AAA041L13.genome.CDS.1985,group00015
AAA041L13.genome.CDS.1986,group01122
AAA041L13.genome.CDS.2692,group00084
AAA041L13.genome.CDS.1980,group02372
AAA041L13.genome.CDS.1981,group04296
AAA041L13.genome.CDS.2697,group00974
AAA041L13.genome.CDS.2696,group00848
AAA041L13.genome.CDS.67,group04295
AAA041L13.genome.CDS.2529,group01710
AAA041L13.genome.CDS.2528,group01868
AAA041L13.genome.CDS.2527,group01708
AAA041L13.genome.CDS.2526,group01643
AAA041L13.genome.CDS.2525,group01642
AAA041L13.genome.CDS.2523,group01205
AAA041L13.genome.CDS.2522,group01159
AAA041L13.genome.CDS.2521,group01707
AAA041L13.genome.CDS.2520,group01786
