bin_7_acI-B2.genome.CDS.1369,group00700
bin_7_acI-B2.genome.CDS.3569,group00221
bin_7_acI-B2.genome.CDS.3568,group02792
bin_7_acI-B2.genome.CDS.3616,group00521
bin_7_acI-B2.genome.CDS.2902,group01626
bin_7_acI-B2.genome.CDS.2903,group04914
bin_7_acI-B2.genome.CDS.2900,group01779
bin_7_acI-B2.genome.CDS.2901,group01379
bin_7_acI-B2.genome.CDS.2906,group04911
bin_7_acI-B2.genome.CDS.2907,group00706
bin_7_acI-B2.genome.CDS.2904,group04913
bin_7_acI-B2.genome.CDS.2905,group04912
bin_7_acI-B2.genome.CDS.2908,group04910
bin_7_acI-B2.genome.CDS.2909,group04909
bin_7_acI-B2.genome.CDS.2836,group00444
bin_7_acI-B2.genome.CDS.2837,group00892
bin_7_acI-B2.genome.CDS.2834,group00048
bin_7_acI-B2.genome.CDS.2835,group00882
bin_7_acI-B2.genome.CDS.2832,group00082
bin_7_acI-B2.genome.CDS.2833,group00063
bin_7_acI-B2.genome.CDS.2830,group00129
bin_7_acI-B2.genome.CDS.3418,group00207
bin_7_acI-B2.genome.CDS.3417,group00656
bin_7_acI-B2.genome.CDS.3416,group00187
bin_7_acI-B2.genome.CDS.3415,group00358
bin_7_acI-B2.genome.CDS.3414,group00754
bin_7_acI-B2.genome.CDS.3413,group00315
bin_7_acI-B2.genome.CDS.3412,group00359
bin_7_acI-B2.genome.CDS.2838,group00227
bin_7_acI-B2.genome.CDS.2839,group00297
bin_7_acI-B2.genome.CDS.1127,group00840
bin_7_acI-B2.genome.CDS.1129,group04933
bin_7_acI-B2.genome.CDS.1128,group04934
bin_7_acI-B2.genome.CDS.4038,group00510
bin_7_acI-B2.genome.CDS.4039,group01046
bin_7_acI-B2.genome.CDS.4034,group01249
bin_7_acI-B2.genome.CDS.4035,group01637
bin_7_acI-B2.genome.CDS.4036,group01703
bin_7_acI-B2.genome.CDS.4037,group01313
bin_7_acI-B2.genome.CDS.4030,group01702
bin_7_acI-B2.genome.CDS.4031,group01279
bin_7_acI-B2.genome.CDS.4032,group01583
bin_7_acI-B2.genome.CDS.4033,group01536
bin_7_acI-B2.genome.CDS.3981,group00471
bin_7_acI-B2.genome.CDS.3980,group00453
bin_7_acI-B2.genome.CDS.3983,group00614
bin_7_acI-B2.genome.CDS.3985,group02276
bin_7_acI-B2.genome.CDS.3984,group00952
bin_7_acI-B2.genome.CDS.3987,group00789
bin_7_acI-B2.genome.CDS.3986,group00785
bin_7_acI-B2.genome.CDS.3989,group04830
bin_7_acI-B2.genome.CDS.3969,group00394
bin_7_acI-B2.genome.CDS.3968,group00425
bin_7_acI-B2.genome.CDS.3967,group00202
bin_7_acI-B2.genome.CDS.3966,group00306
bin_7_acI-B2.genome.CDS.3965,group00284
bin_7_acI-B2.genome.CDS.3964,group00382
bin_7_acI-B2.genome.CDS.3963,group00999
bin_7_acI-B2.genome.CDS.3962,group00363
bin_7_acI-B2.genome.CDS.3961,group00545
bin_7_acI-B2.genome.CDS.3960,group00621
bin_7_acI-B2.genome.CDS.3506,group00093
bin_7_acI-B2.genome.CDS.2160,group01637
bin_7_acI-B2.genome.CDS.2161,group01703
bin_7_acI-B2.genome.CDS.2162,group01313
bin_7_acI-B2.genome.CDS.2163,group00510
bin_7_acI-B2.genome.CDS.2164,group01046
bin_7_acI-B2.genome.CDS.2165,group01253
bin_7_acI-B2.genome.CDS.2166,group00046
bin_7_acI-B2.genome.CDS.2167,group00055
bin_7_acI-B2.genome.CDS.2168,group00093
bin_7_acI-B2.genome.CDS.2169,group04836
bin_7_acI-B2.genome.CDS.2229,group02034
bin_7_acI-B2.genome.CDS.2228,group02252
bin_7_acI-B2.genome.CDS.2223,group02000
bin_7_acI-B2.genome.CDS.2222,group01383
bin_7_acI-B2.genome.CDS.2221,group01382
bin_7_acI-B2.genome.CDS.2220,group01494
bin_7_acI-B2.genome.CDS.2227,group00438
bin_7_acI-B2.genome.CDS.2225,group04846
bin_7_acI-B2.genome.CDS.2224,group00222
bin_7_acI-B2.genome.CDS.3365,group02854
bin_7_acI-B2.genome.CDS.3364,group01339
bin_7_acI-B2.genome.CDS.3367,group01052
bin_7_acI-B2.genome.CDS.3366,group02169
bin_7_acI-B2.genome.CDS.3361,group00036
bin_7_acI-B2.genome.CDS.3360,group00282
bin_7_acI-B2.genome.CDS.3363,group00859
bin_7_acI-B2.genome.CDS.3362,group02133
bin_7_acI-B2.genome.CDS.3369,group00537
bin_7_acI-B2.genome.CDS.3368,group01134
bin_7_acI-B2.genome.CDS.2591,group01538
bin_7_acI-B2.genome.CDS.2590,group01308
bin_7_acI-B2.genome.CDS.2593,group01600
bin_7_acI-B2.genome.CDS.2592,group01326
bin_7_acI-B2.genome.CDS.2595,group01272
bin_7_acI-B2.genome.CDS.2594,group01769
bin_7_acI-B2.genome.CDS.2597,group00294
bin_7_acI-B2.genome.CDS.2596,group02510
bin_7_acI-B2.genome.CDS.2599,group02985
bin_7_acI-B2.genome.CDS.2598,group01174
bin_7_acI-B2.genome.CDS.304,group00883
bin_7_acI-B2.genome.CDS.769,group04890
bin_7_acI-B2.genome.CDS.2357,group00538
bin_7_acI-B2.genome.CDS.2356,group02043
bin_7_acI-B2.genome.CDS.2355,group01679
bin_7_acI-B2.genome.CDS.2354,group01270
bin_7_acI-B2.genome.CDS.2353,group01150
bin_7_acI-B2.genome.CDS.2352,group01096
bin_7_acI-B2.genome.CDS.2351,group01234
bin_7_acI-B2.genome.CDS.2350,group00698
bin_7_acI-B2.genome.CDS.1802,group04999
bin_7_acI-B2.genome.CDS.1800,group00256
bin_7_acI-B2.genome.CDS.2358,group00727
bin_7_acI-B2.genome.CDS.3776,group04979
bin_7_acI-B2.genome.CDS.3777,group02183
bin_7_acI-B2.genome.CDS.3774,group04980
bin_7_acI-B2.genome.CDS.3775,group01904
bin_7_acI-B2.genome.CDS.3772,group04981
bin_7_acI-B2.genome.CDS.3773,group01904
bin_7_acI-B2.genome.CDS.3770,group00941
bin_7_acI-B2.genome.CDS.3771,group02213
bin_7_acI-B2.genome.CDS.2685,group00221
bin_7_acI-B2.genome.CDS.2684,group00140
bin_7_acI-B2.genome.CDS.2687,group00713
bin_7_acI-B2.genome.CDS.2686,group00153
bin_7_acI-B2.genome.CDS.2681,group00794
bin_7_acI-B2.genome.CDS.2680,group00038
bin_7_acI-B2.genome.CDS.2683,group00026
bin_7_acI-B2.genome.CDS.3779,group04978
bin_7_acI-B2.genome.CDS.413,group01189
bin_7_acI-B2.genome.CDS.2887,group01402
bin_7_acI-B2.genome.CDS.1201,group00091
bin_7_acI-B2.genome.CDS.1202,group00175
bin_7_acI-B2.genome.CDS.1203,group00175
bin_7_acI-B2.genome.CDS.3174,group00324
bin_7_acI-B2.genome.CDS.3175,group00563
bin_7_acI-B2.genome.CDS.3177,group00714
bin_7_acI-B2.genome.CDS.3170,group04942
bin_7_acI-B2.genome.CDS.3171,group04941
bin_7_acI-B2.genome.CDS.3172,group00685
bin_7_acI-B2.genome.CDS.3173,group00701
bin_7_acI-B2.genome.CDS.3179,group00961
bin_7_acI-B2.genome.CDS.3080,group00188
bin_7_acI-B2.genome.CDS.3081,group04922
bin_7_acI-B2.genome.CDS.3082,group00193
bin_7_acI-B2.genome.CDS.3083,group00015
bin_7_acI-B2.genome.CDS.3084,group00118
bin_7_acI-B2.genome.CDS.3085,group01402
bin_7_acI-B2.genome.CDS.3086,group00275
bin_7_acI-B2.genome.CDS.2578,group00173
bin_7_acI-B2.genome.CDS.3088,group01137
bin_7_acI-B2.genome.CDS.2576,group02748
bin_7_acI-B2.genome.CDS.2575,group01532
bin_7_acI-B2.genome.CDS.2574,group00013
bin_7_acI-B2.genome.CDS.2573,group00356
bin_7_acI-B2.genome.CDS.2572,group04879
bin_7_acI-B2.genome.CDS.2571,group01392
bin_7_acI-B2.genome.CDS.2570,group01385
bin_7_acI-B2.genome.CDS.2779,group01003
bin_7_acI-B2.genome.CDS.2778,group00201
bin_7_acI-B2.genome.CDS.2771,group00322
bin_7_acI-B2.genome.CDS.2770,group00237
bin_7_acI-B2.genome.CDS.2773,group00948
bin_7_acI-B2.genome.CDS.2772,group00279
bin_7_acI-B2.genome.CDS.2775,group01148
bin_7_acI-B2.genome.CDS.2774,group01042
bin_7_acI-B2.genome.CDS.2777,group00572
bin_7_acI-B2.genome.CDS.2776,group00478
bin_7_acI-B2.genome.CDS.3798,group01457
bin_7_acI-B2.genome.CDS.3799,group01444
bin_7_acI-B2.genome.CDS.3794,group00536
bin_7_acI-B2.genome.CDS.3795,group01546
bin_7_acI-B2.genome.CDS.3796,group01540
bin_7_acI-B2.genome.CDS.3797,group01539
bin_7_acI-B2.genome.CDS.3790,group01910
bin_7_acI-B2.genome.CDS.3791,group02134
bin_7_acI-B2.genome.CDS.3792,group01891
bin_7_acI-B2.genome.CDS.3793,group01331
bin_7_acI-B2.genome.CDS.3558,group00605
bin_7_acI-B2.genome.CDS.3559,group01423
bin_7_acI-B2.genome.CDS.3556,group00573
bin_7_acI-B2.genome.CDS.3557,group00660
bin_7_acI-B2.genome.CDS.3554,group00438
bin_7_acI-B2.genome.CDS.3555,group00863
bin_7_acI-B2.genome.CDS.3552,group00409
bin_7_acI-B2.genome.CDS.3553,group00216
bin_7_acI-B2.genome.CDS.3550,group00214
bin_7_acI-B2.genome.CDS.3551,group00280
bin_7_acI-B2.genome.CDS.4063,group01966
bin_7_acI-B2.genome.CDS.4062,group01315
bin_7_acI-B2.genome.CDS.2953,group01583
bin_7_acI-B2.genome.CDS.4060,group01342
bin_7_acI-B2.genome.CDS.4067,group02086
bin_7_acI-B2.genome.CDS.2821,group02282
bin_7_acI-B2.genome.CDS.2820,group02042
bin_7_acI-B2.genome.CDS.3428,group00781
bin_7_acI-B2.genome.CDS.2822,group02984
bin_7_acI-B2.genome.CDS.2825,group01963
bin_7_acI-B2.genome.CDS.2957,group01703
bin_7_acI-B2.genome.CDS.2827,group00005
bin_7_acI-B2.genome.CDS.2826,group01964
bin_7_acI-B2.genome.CDS.3422,group00722
bin_7_acI-B2.genome.CDS.3423,group00697
bin_7_acI-B2.genome.CDS.3420,group02273
bin_7_acI-B2.genome.CDS.2956,group01637
bin_7_acI-B2.genome.CDS.3426,group00132
bin_7_acI-B2.genome.CDS.3427,group00155
bin_7_acI-B2.genome.CDS.3424,group02855
bin_7_acI-B2.genome.CDS.3425,group00127
bin_7_acI-B2.genome.CDS.3419,group00712
bin_7_acI-B2.genome.CDS.2919,group01864
bin_7_acI-B2.genome.CDS.2918,group00941
bin_7_acI-B2.genome.CDS.4029,group01337
bin_7_acI-B2.genome.CDS.4028,group02285
bin_7_acI-B2.genome.CDS.4027,group01582
bin_7_acI-B2.genome.CDS.4026,group01960
bin_7_acI-B2.genome.CDS.4025,group01636
bin_7_acI-B2.genome.CDS.2916,group02283
bin_7_acI-B2.genome.CDS.2911,group04907
bin_7_acI-B2.genome.CDS.2910,group04908
bin_7_acI-B2.genome.CDS.4021,group01708
bin_7_acI-B2.genome.CDS.2912,group04906
bin_7_acI-B2.genome.CDS.3958,group00482
bin_7_acI-B2.genome.CDS.3959,group01168
bin_7_acI-B2.genome.CDS.3952,group01563
bin_7_acI-B2.genome.CDS.3953,group01562
bin_7_acI-B2.genome.CDS.3950,group01375
bin_7_acI-B2.genome.CDS.3951,group01501
bin_7_acI-B2.genome.CDS.3956,group01450
bin_7_acI-B2.genome.CDS.3957,group00357
bin_7_acI-B2.genome.CDS.3954,group01713
bin_7_acI-B2.genome.CDS.3955,group01818
bin_7_acI-B2.genome.CDS.3888,group02176
bin_7_acI-B2.genome.CDS.3889,group01917
bin_7_acI-B2.genome.CDS.3880,group01800
bin_7_acI-B2.genome.CDS.3881,group01633
bin_7_acI-B2.genome.CDS.3882,group00352
bin_7_acI-B2.genome.CDS.3883,group04998
bin_7_acI-B2.genome.CDS.3884,group02403
bin_7_acI-B2.genome.CDS.3885,group02156
bin_7_acI-B2.genome.CDS.3886,group01883
bin_7_acI-B2.genome.CDS.3887,group01918
bin_7_acI-B2.genome.CDS.2173,group01038
bin_7_acI-B2.genome.CDS.2172,group00061
bin_7_acI-B2.genome.CDS.2171,group00265
bin_7_acI-B2.genome.CDS.2170,group02319
bin_7_acI-B2.genome.CDS.2177,group00563
bin_7_acI-B2.genome.CDS.2175,group00714
bin_7_acI-B2.genome.CDS.2174,group00641
bin_7_acI-B2.genome.CDS.2179,group00701
bin_7_acI-B2.genome.CDS.2178,group00324
bin_7_acI-B2.genome.CDS.2216,group04847
bin_7_acI-B2.genome.CDS.2217,group01335
bin_7_acI-B2.genome.CDS.2214,group00455
bin_7_acI-B2.genome.CDS.2215,group00750
bin_7_acI-B2.genome.CDS.2212,group04841
bin_7_acI-B2.genome.CDS.2213,group02198
bin_7_acI-B2.genome.CDS.2210,group00795
bin_7_acI-B2.genome.CDS.2211,group04842
bin_7_acI-B2.genome.CDS.3700,group00446
bin_7_acI-B2.genome.CDS.1920,group00699
bin_7_acI-B2.genome.CDS.2218,group01638
bin_7_acI-B2.genome.CDS.2219,group01639
bin_7_acI-B2.genome.CDS.3310,group01312
bin_7_acI-B2.genome.CDS.3311,group00958
bin_7_acI-B2.genome.CDS.3312,group00353
bin_7_acI-B2.genome.CDS.3313,group01758
bin_7_acI-B2.genome.CDS.3314,group00804
bin_7_acI-B2.genome.CDS.3709,group00585
bin_7_acI-B2.genome.CDS.3316,group00406
bin_7_acI-B2.genome.CDS.3317,group00695
bin_7_acI-B2.genome.CDS.3318,group00721
bin_7_acI-B2.genome.CDS.3319,group00416
bin_7_acI-B2.genome.CDS.2651,group00688
bin_7_acI-B2.genome.CDS.311,group04852
bin_7_acI-B2.genome.CDS.318,group04851
bin_7_acI-B2.genome.CDS.773,group04889
bin_7_acI-B2.genome.CDS.778,group00151
bin_7_acI-B2.genome.CDS.2362,group00630
bin_7_acI-B2.genome.CDS.2363,group00485
bin_7_acI-B2.genome.CDS.2360,group00591
bin_7_acI-B2.genome.CDS.2361,group02082
bin_7_acI-B2.genome.CDS.2366,group00456
bin_7_acI-B2.genome.CDS.3229,group00113
bin_7_acI-B2.genome.CDS.2364,group00143
bin_7_acI-B2.genome.CDS.2365,group00571
bin_7_acI-B2.genome.CDS.3224,group00854
bin_7_acI-B2.genome.CDS.3225,group01645
bin_7_acI-B2.genome.CDS.2368,group00189
bin_7_acI-B2.genome.CDS.2369,group00047
bin_7_acI-B2.genome.CDS.3220,group00135
bin_7_acI-B2.genome.CDS.3221,group00646
bin_7_acI-B2.genome.CDS.3222,group00234
bin_7_acI-B2.genome.CDS.3223,group00305
bin_7_acI-B2.genome.CDS.3761,group01010
bin_7_acI-B2.genome.CDS.3760,group00429
bin_7_acI-B2.genome.CDS.3763,group01504
bin_7_acI-B2.genome.CDS.3762,group00731
bin_7_acI-B2.genome.CDS.3765,group02493
bin_7_acI-B2.genome.CDS.3764,group01256
bin_7_acI-B2.genome.CDS.3767,group01257
bin_7_acI-B2.genome.CDS.3766,group00259
bin_7_acI-B2.genome.CDS.3769,group04982
bin_7_acI-B2.genome.CDS.3768,group02989
bin_7_acI-B2.genome.CDS.168,group00759
bin_7_acI-B2.genome.CDS.955,group02535
bin_7_acI-B2.genome.CDS.3167,group04943
bin_7_acI-B2.genome.CDS.3166,group00990
bin_7_acI-B2.genome.CDS.3165,group01064
bin_7_acI-B2.genome.CDS.3164,group00967
bin_7_acI-B2.genome.CDS.3163,group00968
bin_7_acI-B2.genome.CDS.3162,group00971
bin_7_acI-B2.genome.CDS.3161,group00926
bin_7_acI-B2.genome.CDS.3160,group01019
bin_7_acI-B2.genome.CDS.3169,group00391
bin_7_acI-B2.genome.CDS.3168,group00589
bin_7_acI-B2.genome.CDS.3101,group01204
bin_7_acI-B2.genome.CDS.3100,group00681
bin_7_acI-B2.genome.CDS.3093,group01844
bin_7_acI-B2.genome.CDS.3092,group00650
bin_7_acI-B2.genome.CDS.3091,group01082
bin_7_acI-B2.genome.CDS.2549,group00629
bin_7_acI-B2.genome.CDS.3097,group01054
bin_7_acI-B2.genome.CDS.3096,group01346
bin_7_acI-B2.genome.CDS.3095,group01136
bin_7_acI-B2.genome.CDS.3094,group01285
bin_7_acI-B2.genome.CDS.2542,group00007
bin_7_acI-B2.genome.CDS.2543,group00849
bin_7_acI-B2.genome.CDS.3099,group00629
bin_7_acI-B2.genome.CDS.3098,group01384
bin_7_acI-B2.genome.CDS.2546,group00310
bin_7_acI-B2.genome.CDS.2547,group04874
bin_7_acI-B2.genome.CDS.2544,group00796
bin_7_acI-B2.genome.CDS.2784,group01618
bin_7_acI-B2.genome.CDS.2785,group01515
bin_7_acI-B2.genome.CDS.2786,group01559
bin_7_acI-B2.genome.CDS.2787,group01465
bin_7_acI-B2.genome.CDS.2780,group00096
bin_7_acI-B2.genome.CDS.2781,group00815
bin_7_acI-B2.genome.CDS.2782,group01120
bin_7_acI-B2.genome.CDS.3108,group01842
bin_7_acI-B2.genome.CDS.2788,group01737
bin_7_acI-B2.genome.CDS.2789,group00009
bin_7_acI-B2.genome.CDS.3631,group00320
bin_7_acI-B2.genome.CDS.3630,group00184
bin_7_acI-B2.genome.CDS.3789,group01543
bin_7_acI-B2.genome.CDS.3788,group00795
bin_7_acI-B2.genome.CDS.3787,group04989
bin_7_acI-B2.genome.CDS.3786,group01971
bin_7_acI-B2.genome.CDS.3785,group01304
bin_7_acI-B2.genome.CDS.3784,group04975
bin_7_acI-B2.genome.CDS.3782,group02042
bin_7_acI-B2.genome.CDS.3781,group04976
bin_7_acI-B2.genome.CDS.3549,group00281
bin_7_acI-B2.genome.CDS.3548,group01017
bin_7_acI-B2.genome.CDS.3541,group00039
bin_7_acI-B2.genome.CDS.3540,group00087
bin_7_acI-B2.genome.CDS.3543,group00801
bin_7_acI-B2.genome.CDS.3542,group00946
bin_7_acI-B2.genome.CDS.3545,group00893
bin_7_acI-B2.genome.CDS.3639,group00139
bin_7_acI-B2.genome.CDS.3547,group00174
bin_7_acI-B2.genome.CDS.3546,group00285
bin_7_acI-B2.genome.CDS.3638,group00050
bin_7_acI-B2.genome.CDS.1321,group00248
bin_7_acI-B2.genome.CDS.1320,group00248
bin_7_acI-B2.genome.CDS.3435,group00271
bin_7_acI-B2.genome.CDS.3434,group00675
bin_7_acI-B2.genome.CDS.3437,group00717
bin_7_acI-B2.genome.CDS.3436,group00239
bin_7_acI-B2.genome.CDS.3431,group00099
bin_7_acI-B2.genome.CDS.3433,group00566
bin_7_acI-B2.genome.CDS.3439,group00040
bin_7_acI-B2.genome.CDS.3438,group00089
bin_7_acI-B2.genome.CDS.1149,group01024
bin_7_acI-B2.genome.CDS.4011,group01495
bin_7_acI-B2.genome.CDS.2968,group00835
bin_7_acI-B2.genome.CDS.2969,group01083
bin_7_acI-B2.genome.CDS.4018,group00687
bin_7_acI-B2.genome.CDS.4019,group01642
bin_7_acI-B2.genome.CDS.2960,group01046
bin_7_acI-B2.genome.CDS.2961,group01253
bin_7_acI-B2.genome.CDS.2962,group00046
bin_7_acI-B2.genome.CDS.2963,group00055
bin_7_acI-B2.genome.CDS.4016,group01159
bin_7_acI-B2.genome.CDS.2965,group00912
bin_7_acI-B2.genome.CDS.2966,group00676
bin_7_acI-B2.genome.CDS.2967,group01008
bin_7_acI-B2.genome.CDS.1926,group00883
bin_7_acI-B2.genome.CDS.2450,group01585
bin_7_acI-B2.genome.CDS.3404,group00620
bin_7_acI-B2.genome.CDS.3945,group01389
bin_7_acI-B2.genome.CDS.3944,group00986
bin_7_acI-B2.genome.CDS.3946,group01110
bin_7_acI-B2.genome.CDS.3941,group04829
bin_7_acI-B2.genome.CDS.3940,group00003
bin_7_acI-B2.genome.CDS.2148,group04838
bin_7_acI-B2.genome.CDS.2149,group04837
bin_7_acI-B2.genome.CDS.2146,group01373
bin_7_acI-B2.genome.CDS.2147,group00345
bin_7_acI-B2.genome.CDS.3949,group01336
bin_7_acI-B2.genome.CDS.3948,group00181
bin_7_acI-B2.genome.CDS.2140,group00339
bin_7_acI-B2.genome.CDS.2141,group01125
bin_7_acI-B2.genome.CDS.3899,group01561
bin_7_acI-B2.genome.CDS.3898,group01529
bin_7_acI-B2.genome.CDS.3893,group04996
bin_7_acI-B2.genome.CDS.3892,group02990
bin_7_acI-B2.genome.CDS.3891,group04997
bin_7_acI-B2.genome.CDS.3890,group02402
bin_7_acI-B2.genome.CDS.3897,group01443
bin_7_acI-B2.genome.CDS.3896,group01523
bin_7_acI-B2.genome.CDS.3895,group01767
bin_7_acI-B2.genome.CDS.3894,group02128
bin_7_acI-B2.genome.CDS.2359,group01175
bin_7_acI-B2.genome.CDS.2201,group00980
bin_7_acI-B2.genome.CDS.2200,group00980
bin_7_acI-B2.genome.CDS.2202,group01344
bin_7_acI-B2.genome.CDS.2205,group00654
bin_7_acI-B2.genome.CDS.2204,group00402
bin_7_acI-B2.genome.CDS.2207,group04843
bin_7_acI-B2.genome.CDS.2206,group04844
bin_7_acI-B2.genome.CDS.2209,group01716
bin_7_acI-B2.genome.CDS.2208,group01747
bin_7_acI-B2.genome.CDS.2689,group00661
bin_7_acI-B2.genome.CDS.2688,group02512
bin_7_acI-B2.genome.CDS.3303,group01959
bin_7_acI-B2.genome.CDS.3302,group02080
bin_7_acI-B2.genome.CDS.3301,group01381
bin_7_acI-B2.genome.CDS.3300,group01052
bin_7_acI-B2.genome.CDS.3307,group01781
bin_7_acI-B2.genome.CDS.3306,group01535
bin_7_acI-B2.genome.CDS.3305,group01380
bin_7_acI-B2.genome.CDS.3304,group02079
bin_7_acI-B2.genome.CDS.3309,group01283
bin_7_acI-B2.genome.CDS.3308,group01493
bin_7_acI-B2.genome.CDS.3440,group00110
bin_7_acI-B2.genome.CDS.2379,group00025
bin_7_acI-B2.genome.CDS.1797,group04991
bin_7_acI-B2.genome.CDS.2377,group00370
bin_7_acI-B2.genome.CDS.2376,group00277
bin_7_acI-B2.genome.CDS.2370,group00068
bin_7_acI-B2.genome.CDS.2373,group00677
bin_7_acI-B2.genome.CDS.2372,group00276
bin_7_acI-B2.genome.CDS.1795,group04992
bin_7_acI-B2.genome.CDS.3778,group02282
bin_7_acI-B2.genome.CDS.2682,group00203
bin_7_acI-B2.genome.CDS.1418,group02295
bin_7_acI-B2.genome.CDS.1415,group01029
bin_7_acI-B2.genome.CDS.3239,group00870
bin_7_acI-B2.genome.CDS.3238,group00691
bin_7_acI-B2.genome.CDS.3237,group00311
bin_7_acI-B2.genome.CDS.3236,group01878
bin_7_acI-B2.genome.CDS.3235,group00671
bin_7_acI-B2.genome.CDS.3234,group01223
bin_7_acI-B2.genome.CDS.3233,group00891
bin_7_acI-B2.genome.CDS.3232,group00728
bin_7_acI-B2.genome.CDS.3231,group00770
bin_7_acI-B2.genome.CDS.3230,group01036
bin_7_acI-B2.genome.CDS.3524,group02298
bin_7_acI-B2.genome.CDS.1412,group00864
bin_7_acI-B2.genome.CDS.320,group02741
bin_7_acI-B2.genome.CDS.3152,group01187
bin_7_acI-B2.genome.CDS.3153,group01782
bin_7_acI-B2.genome.CDS.3150,group00602
bin_7_acI-B2.genome.CDS.3151,group00782
bin_7_acI-B2.genome.CDS.3156,group00264
bin_7_acI-B2.genome.CDS.3157,group00808
bin_7_acI-B2.genome.CDS.3154,group00069
bin_7_acI-B2.genome.CDS.3155,group01053
bin_7_acI-B2.genome.CDS.3158,group00501
bin_7_acI-B2.genome.CDS.3159,group00927
bin_7_acI-B2.genome.CDS.2555,group01054
bin_7_acI-B2.genome.CDS.2554,group01641
bin_7_acI-B2.genome.CDS.2557,group00973
bin_7_acI-B2.genome.CDS.2556,group01986
bin_7_acI-B2.genome.CDS.2551,group01537
bin_7_acI-B2.genome.CDS.2550,group00681
bin_7_acI-B2.genome.CDS.2553,group00670
bin_7_acI-B2.genome.CDS.2552,group01286
bin_7_acI-B2.genome.CDS.2559,group00815
bin_7_acI-B2.genome.CDS.2558,group01302
bin_7_acI-B2.genome.CDS.2797,group00575
bin_7_acI-B2.genome.CDS.2795,group00825
bin_7_acI-B2.genome.CDS.2794,group00637
bin_7_acI-B2.genome.CDS.2793,group00841
bin_7_acI-B2.genome.CDS.2792,group00581
bin_7_acI-B2.genome.CDS.1204,group04946
bin_7_acI-B2.genome.CDS.2790,group00032
bin_7_acI-B2.genome.CDS.2799,group00923
bin_7_acI-B2.genome.CDS.2798,group01147
bin_7_acI-B2.genome.CDS.1796,group04993
bin_7_acI-B2.genome.CDS.3441,group00120
bin_7_acI-B2.genome.CDS.3442,group00335
bin_7_acI-B2.genome.CDS.3443,group00125
bin_7_acI-B2.genome.CDS.3445,group00294
bin_7_acI-B2.genome.CDS.3446,group00041
bin_7_acI-B2.genome.CDS.3448,group00085
bin_7_acI-B2.genome.CDS.3449,group00019
bin_7_acI-B2.genome.CDS.1798,group04990
bin_7_acI-B2.genome.CDS.1799,group00256
bin_7_acI-B2.genome.CDS.1778,group00365
bin_7_acI-B2.genome.CDS.1777,group02141
bin_7_acI-B2.genome.CDS.4005,group01784
bin_7_acI-B2.genome.CDS.4004,group02085
bin_7_acI-B2.genome.CDS.2979,group01422
bin_7_acI-B2.genome.CDS.4006,group00843
bin_7_acI-B2.genome.CDS.4001,group01344
bin_7_acI-B2.genome.CDS.4000,group00980
bin_7_acI-B2.genome.CDS.4003,group00402
bin_7_acI-B2.genome.CDS.4002,group02284
bin_7_acI-B2.genome.CDS.2973,group00180
bin_7_acI-B2.genome.CDS.2972,group00238
bin_7_acI-B2.genome.CDS.2971,group00913
bin_7_acI-B2.genome.CDS.2970,group01021
bin_7_acI-B2.genome.CDS.4009,group01785
bin_7_acI-B2.genome.CDS.4008,group01338
bin_7_acI-B2.genome.CDS.2975,group00531
bin_7_acI-B2.genome.CDS.2974,group00179
bin_7_acI-B2.genome.CDS.4024,group01787
bin_7_acI-B2.genome.CDS.4007,group00435
bin_7_acI-B2.genome.CDS.2978,group01640
bin_7_acI-B2.genome.CDS.4022,group01103
bin_7_acI-B2.genome.CDS.2159,group01249
bin_7_acI-B2.genome.CDS.2158,group01536
bin_7_acI-B2.genome.CDS.3932,group01865
bin_7_acI-B2.genome.CDS.3933,group00857
bin_7_acI-B2.genome.CDS.3934,group00266
bin_7_acI-B2.genome.CDS.3935,group01188
bin_7_acI-B2.genome.CDS.3936,group01316
bin_7_acI-B2.genome.CDS.3937,group00463
bin_7_acI-B2.genome.CDS.3938,group00520
bin_7_acI-B2.genome.CDS.2150,group01636
bin_7_acI-B2.genome.CDS.2153,group01582
bin_7_acI-B2.genome.CDS.2152,group01960
bin_7_acI-B2.genome.CDS.2155,group01702
bin_7_acI-B2.genome.CDS.2154,group02075
bin_7_acI-B2.genome.CDS.2157,group01583
bin_7_acI-B2.genome.CDS.2976,group01073
bin_7_acI-B2.genome.CDS.4020,group01643
bin_7_acI-B2.genome.CDS.3848,group00554
bin_7_acI-B2.genome.CDS.3849,group00633
bin_7_acI-B2.genome.CDS.3338,group00483
bin_7_acI-B2.genome.CDS.3339,group00076
bin_7_acI-B2.genome.CDS.3844,group00679
bin_7_acI-B2.genome.CDS.3845,group00424
bin_7_acI-B2.genome.CDS.3846,group00223
bin_7_acI-B2.genome.CDS.3847,group00241
bin_7_acI-B2.genome.CDS.3332,group00451
bin_7_acI-B2.genome.CDS.3841,group01353
bin_7_acI-B2.genome.CDS.3330,group00834
bin_7_acI-B2.genome.CDS.3331,group00969
bin_7_acI-B2.genome.CDS.2579,group02094
bin_7_acI-B2.genome.CDS.3087,group01095
bin_7_acI-B2.genome.CDS.2577,group01228
bin_7_acI-B2.genome.CDS.3089,group00940
bin_7_acI-B2.genome.CDS.2308,group01963
bin_7_acI-B2.genome.CDS.2309,group01964
bin_7_acI-B2.genome.CDS.2300,group00939
