AAA028G02.genome.CDS.1340,group03393
AAA028G02.genome.CDS.1544,group00871
AAA028G02.genome.CDS.2072,group00159
AAA028G02.genome.CDS.2098,group00271
AAA028G02.genome.CDS.1579,group00083
AAA028G02.genome.CDS.2540,group01161
AAA028G02.genome.CDS.2543,group00523
AAA028G02.genome.CDS.1473,group00105
AAA028G02.genome.CDS.2545,group01390
AAA028G02.genome.CDS.1475,group00663
AAA028G02.genome.CDS.2547,group00618
AAA028G02.genome.CDS.2546,group00619
AAA028G02.genome.CDS.1478,group00679
AAA028G02.genome.CDS.2548,group00610
AAA028G02.genome.CDS.1573,group02369
AAA028G02.genome.CDS.1572,group01692
AAA028G02.genome.CDS.1575,group00656
AAA028G02.genome.CDS.1574,group00207
AAA028G02.genome.CDS.1577,group00061
AAA028G02.genome.CDS.1576,group00187
