Clade,COG,CDS,Total
acI-B,group00160,"AAA023D18.genome.CDS.1349,AAA027J17.genome.CDS.1613,AAA027L06.genome.CDS.1580,AAA028A23.genome.CDS.1631,AAA278I18.genome.CDS.995,acIB-AMD-7.genome.CDS.1930,bin_7_acI-B2.genome.CDS.2424,MEint283.genome.CDS.1337,MEint4252.genome.CDS.1245,TBepi2057.genome.CDS.1057,TBepi2754.genome.CDS.1401,TBepi3475.genome.CDS.1848,TBepi4208.genome.CDS.1301,TBhypo2152.genome.CDS.1083,TBhypo3463.genome.CDS.1360,TBhypo3838.genome.CDS.671",8
acI-B,group00161,"AAA023D18.genome.CDS.765,AAA027L06.genome.CDS.1349,AAA044D11.genome.CDS.1307,AAA278I18.genome.CDS.1526,AB141P03.genome.CDS.1228,acIB-AMD-7.genome.CDS.1502,bin_7_acI-B2.genome.CDS.2437,MEint283.genome.CDS.782,MEint4252.genome.CDS.1466,TBepi2057.genome.CDS.1634,TBepi2057.genome.CDS.1411,TBepi2754.genome.CDS.2545,TBepi3207.genome.CDS.1906,TBepi3475.genome.CDS.1593,TBepi4208.genome.CDS.1376,TBhypo2152.genome.CDS.1798,TBhypo3463.genome.CDS.2086,TBhypo3838.genome.CDS.822,TBhypo680.genome.CDS.2445",2
acI-B,group00162,"AAA027J17.genome.CDS.1973,AAA027J17.genome.CDS.1969,AAA027L06.genome.CDS.2284,AAA028A23.genome.CDS.906,AAA044D11.genome.CDS.1259,AAA278I18.genome.CDS.1120,AB141P03.genome.CDS.894,acIB-AMD-6.genome.CDS.811,acIB-AMD-7.genome.CDS.1079,acIB-AMD-7.genome.CDS.1740,bin_7_acI-B2.genome.CDS.3719,MEint283.genome.CDS.1303,MEint4252.genome.CDS.2175,TBepi2057.genome.CDS.1117,TBepi2754.genome.CDS.1469,TBepi3207.genome.CDS.1426,TBepi3475.genome.CDS.1408,TBepi4208.genome.CDS.1971,TBhypo2152.genome.CDS.1593,TBhypo3463.genome.CDS.1879,TBhypo3838.genome.CDS.700",2
acI-B,group00163,"AAA028A23.genome.CDS.1229,AAA044D11.genome.CDS.1994,AAA278I18.genome.CDS.1597,acIB-AMD-6.genome.CDS.742,acIB-AMD-6.genome.CDS.854,acIB-AMD-7.genome.CDS.1139,bin_7_acI-B2.genome.CDS.3296,MEint283.genome.CDS.1015,TBepi2057.genome.CDS.1160,TBepi2754.genome.CDS.2271,TBepi3207.genome.CDS.2372,TBepi3475.genome.CDS.1371,TBepi3475.genome.CDS.1443,TBepi4208.genome.CDS.1281,TBhypo2152.genome.CDS.1535,TBhypo3463.genome.CDS.1847,TBhypo3838.genome.CDS.589,TBhypo680.genome.CDS.2613",1
acI-B,group00164,"AAA027J17.genome.CDS.1685,AAA027L06.genome.CDS.1406,AAA028A23.genome.CDS.1635,AAA044D11.genome.CDS.1567,AAA278I18.genome.CDS.973,bin_7_acI-B2.genome.CDS.3061,MEint283.genome.CDS.904,MEint4252.genome.CDS.1750,TBepi2057.genome.CDS.1475,TBepi2754.genome.CDS.1419,TBepi3207.genome.CDS.2233,TBepi3475.genome.CDS.1886,TBepi4208.genome.CDS.1857,TBhypo2152.genome.CDS.1754,TBhypo3838.genome.CDS.772,TBhypo680.genome.CDS.2258",13
acI-B,group00165,"AAA023D18.genome.CDS.1151,AAA027J17.genome.CDS.1696,AAA027L06.genome.CDS.1417,AAA028A23.genome.CDS.1361,AAA044D11.genome.CDS.2244,AAA278I18.genome.CDS.1787,bin_7_acI-B2.genome.CDS.3049,MEint283.genome.CDS.1224,MEint4252.genome.CDS.1739,TBepi2057.genome.CDS.1869,TBepi2754.genome.CDS.2319,TBepi3207.genome.CDS.1810,TBepi4208.genome.CDS.1332,TBhypo2152.genome.CDS.1379,TBhypo3463.genome.CDS.2184,TBhypo3838.genome.CDS.926,TBhypo680.genome.CDS.2270",9
acI-B,group00166,"AAA027J17.genome.CDS.1895,AAA027L06.genome.CDS.1837,AAA028A23.genome.CDS.1433,AAA044D11.genome.CDS.1472,AAA278I18.genome.CDS.1568,AB141P03.genome.CDS.1077,acIB-AMD-6.genome.CDS.792,acIB-AMD-6.genome.CDS.117,acIB-AMD-7.genome.CDS.1731,acIB-AMD-7.genome.CDS.1209,bin_7_acI-B2.genome.CDS.1383,MEint283.genome.CDS.853,TBepi2057.genome.CDS.1500,TBepi2754.genome.CDS.1083,TBepi3207.genome.CDS.2382,TBepi3475.genome.CDS.1029,TBepi4208.genome.CDS.1160,TBhypo2152.genome.CDS.1725,TBhypo3463.genome.CDS.966,TBhypo680.genome.CDS.252,TBhypo680.genome.CDS.2601",7
acI-B,group00167,"AAA023D18.genome.CDS.1142,AAA027J17.genome.CDS.1905,AAA027L06.genome.CDS.1427,AAA027L06.genome.CDS.1420,AAA028A23.genome.CDS.1353,AAA044D11.genome.CDS.2251,AAA278I18.genome.CDS.1793,bin_7_acI-B2.genome.CDS.2101,bin_7_acI-B2.genome.CDS.3043,TBepi2754.genome.CDS.1551,TBepi3207.genome.CDS.1869,TBepi4208.genome.CDS.1074,TBhypo2152.genome.CDS.1125,TBhypo3463.genome.CDS.753,TBhypo680.genome.CDS.2189",5
acI-B,group00169,"AAA023D18.genome.CDS.1415,AAA027J17.genome.CDS.1819,AAA027L06.genome.CDS.1364,AAA044D11.genome.CDS.1326,AAA278I18.genome.CDS.1540,AB141P03.genome.CDS.1010,acIB-AMD-7.genome.CDS.1359,acIB-AMD-7.genome.CDS.1256,bin_7_acI-B2.genome.CDS.3394,MEint4252.genome.CDS.1447,TBepi2057.genome.CDS.1826,TBepi2754.genome.CDS.2051,TBepi3207.genome.CDS.1920,TBepi4208.genome.CDS.1636,TBhypo2152.genome.CDS.272,TBhypo3463.genome.CDS.1766,TBhypo3838.genome.CDS.836,TBhypo680.genome.CDS.2430",3
acI-B,group00171,"AAA023D18.genome.CDS.813,AAA027J17.genome.CDS.1564,AAA027L06.genome.CDS.1308,AAA028A23.genome.CDS.1530,AAA044D11.genome.CDS.1866,AAA278I18.genome.CDS.1374,AB141P03.genome.CDS.1003,MEint283.genome.CDS.1432,MEint4252.genome.CDS.2191,TBepi2754.genome.CDS.2781,TBepi3207.genome.CDS.2149,TBepi3475.genome.CDS.1628,TBepi4208.genome.CDS.1491,TBhypo3463.genome.CDS.2481,TBhypo3838.genome.CDS.841,TBhypo680.genome.CDS.2117",2
acI-B,group00172,"AAA027J17.genome.CDS.1310,AAA027L06.genome.CDS.1953,AAA044D11.genome.CDS.1773,AAA278I18.genome.CDS.1743,acIB-AMD-6.genome.CDS.685,bin_7_acI-B2.genome.CDS.3376,MEint283.genome.CDS.887,MEint4252.genome.CDS.2093,TBepi2057.genome.CDS.1811,TBepi2754.genome.CDS.2008,TBepi3207.genome.CDS.1559,TBepi3475.genome.CDS.1786,TBepi4208.genome.CDS.1608,TBhypo3463.genome.CDS.1403,TBhypo3463.genome.CDS.2273,TBhypo680.genome.CDS.2384",3
acI-B,group00173,"AAA027J17.genome.CDS.1179,AAA027L06.genome.CDS.1988,AAA027L06.genome.CDS.2393,AAA028A23.genome.CDS.1116,bin_7_acI-B2.genome.CDS.2514,bin_7_acI-B2.genome.CDS.2578,MEint4252.genome.CDS.1862,TBepi3207.genome.CDS.1974,TBhypo3463.genome.CDS.1556,TBhypo3463.genome.CDS.1945",4
acI-B,group00174,"AAA023D18.genome.CDS.824,AAA027J17.genome.CDS.1576,AAA027L06.genome.CDS.2097,AAA028A23.genome.CDS.1622,AAA044D11.genome.CDS.1877,AAA278I18.genome.CDS.1385,AB141P03.genome.CDS.991,acIB-AMD-7.genome.CDS.1723,acIB-AMD-7.genome.CDS.1809,bin_7_acI-B2.genome.CDS.3547,MEint283.genome.CDS.1420,MEint4252.genome.CDS.1504,TBepi2754.genome.CDS.2769,TBepi4208.genome.CDS.1450,TBhypo2152.genome.CDS.1808,TBhypo3838.genome.CDS.916,TBhypo680.genome.CDS.2106",6
acI-B,group00175,"AAA027J17.genome.CDS.1505,AAA027L06.genome.CDS.2152,AAA028A23.genome.CDS.362,AAA044D11.genome.CDS.2184,AAA278I18.genome.CDS.1178,acIB-AMD-6.genome.CDS.781,acIB-AMD-7.genome.CDS.1803,bin_7_acI-B2.genome.CDS.1203,bin_7_acI-B2.genome.CDS.1202,MEint283.genome.CDS.1148,MEint4252.genome.CDS.1317,MEint4252.genome.CDS.1179,TBepi2754.genome.CDS.2143,TBepi3207.genome.CDS.1291,TBepi3475.genome.CDS.1312,TBhypo2152.genome.CDS.1733,TBhypo3463.genome.CDS.1366,TBhypo680.genome.CDS.2019",5
acI-B,group00176,"AAA023D18.genome.CDS.1401,AAA027J17.genome.CDS.1412,AB141P03.genome.CDS.716,acIB-AMD-7.genome.CDS.1615,acIB-AMD-7.genome.CDS.1387,bin_7_acI-B2.genome.CDS.3908,MEint283.genome.CDS.1061,MEint283.genome.CDS.1219,MEint4252.genome.CDS.1806,TBepi2057.genome.CDS.1321,TBepi2754.genome.CDS.2099,TBepi2754.genome.CDS.1706,TBepi3207.genome.CDS.2444,TBepi3207.genome.CDS.2479,TBepi3475.genome.CDS.1548,TBepi4208.genome.CDS.1990,TBhypo2152.genome.CDS.1008,TBhypo680.genome.CDS.2034",2
acI-B,group00177,"AAA023D18.genome.CDS.1227,AAA027J17.genome.CDS.1782,AAA027L06.genome.CDS.984,AAA028A23.genome.CDS.1331,AAA044D11.genome.CDS.1226,AAA278I18.genome.CDS.1662,acIB-AMD-7.genome.CDS.1880,MEint4252.genome.CDS.1876,TBepi2057.genome.CDS.1660,TBepi2754.genome.CDS.1898,TBepi3207.genome.CDS.1727,TBepi3475.genome.CDS.969,TBhypo3463.genome.CDS.1689",6
acI-B,group00179,"AAA023D18.genome.CDS.1513,AAA027J17.genome.CDS.1436,AAA027L06.genome.CDS.2328,AAA028A23.genome.CDS.1095,AB141P03.genome.CDS.741,acIB-AMD-6.genome.CDS.1102,acIB-AMD-7.genome.CDS.1228,bin_7_acI-B2.genome.CDS.2478,bin_7_acI-B2.genome.CDS.2974,bin_7_acI-B2.genome.CDS.3496,bin_7_acI-B2.genome.CDS.4053,MEint283.genome.CDS.754,MEint4252.genome.CDS.1841,TBepi2057.genome.CDS.1977,TBepi2754.genome.CDS.2361,TBepi3207.genome.CDS.2035,TBepi3475.genome.CDS.1541,TBepi4208.genome.CDS.1750,TBhypo2152.genome.CDS.1064,TBhypo3463.genome.CDS.2094,TBhypo680.genome.CDS.2297",3
acI-B,group00180,"AAA023D18.genome.CDS.1501,AAA027J17.genome.CDS.1437,AAA027L06.genome.CDS.2327,AAA028A23.genome.CDS.1094,AB141P03.genome.CDS.742,acIB-AMD-6.genome.CDS.1101,acIB-AMD-7.genome.CDS.1229,bin_7_acI-B2.genome.CDS.2479,bin_7_acI-B2.genome.CDS.2973,bin_7_acI-B2.genome.CDS.3497,bin_7_acI-B2.genome.CDS.4052,MEint283.genome.CDS.753,MEint4252.genome.CDS.1840,TBepi2057.genome.CDS.1909,TBepi2754.genome.CDS.2360,TBepi3207.genome.CDS.2034,TBepi3475.genome.CDS.1542,TBepi4208.genome.CDS.1749,TBhypo2152.genome.CDS.1063,TBhypo3463.genome.CDS.2095,TBhypo680.genome.CDS.2298",5
acI-B,group00181,"AAA023D18.genome.CDS.855,AAA023D18.genome.CDS.1471,AAA027J17.genome.CDS.1982,AAA027L06.genome.CDS.1645,AAA028A23.genome.CDS.1448,AAA278I18.genome.CDS.1410,AB141P03.genome.CDS.964,acIB-AMD-7.genome.CDS.1048,bin_7_acI-B2.genome.CDS.3948,MEint283.genome.CDS.942,MEint4252.genome.CDS.2254,TBepi2057.genome.CDS.1555,TBepi2754.genome.CDS.1763,TBepi3207.genome.CDS.1882,TBepi4208.genome.CDS.1088,TBhypo3463.genome.CDS.1482,TBhypo3838.genome.CDS.680,TBhypo680.genome.CDS.2331",2
acI-B,group00182,"AAA027J17.genome.CDS.1687,AAA027L06.genome.CDS.1408,AAA028A23.genome.CDS.1370,AAA044D11.genome.CDS.2235,AAA278I18.genome.CDS.971,acIB-AMD-6.genome.CDS.1080,bin_7_acI-B2.genome.CDS.3059,MEint283.genome.CDS.902,MEint283.genome.CDS.906,MEint4252.genome.CDS.1748,TBepi2057.genome.CDS.1477,TBepi2754.genome.CDS.1421,TBepi3207.genome.CDS.2235,TBepi3475.genome.CDS.1884,TBepi4208.genome.CDS.1743,TBepi4208.genome.CDS.1855,TBhypo2152.genome.CDS.1756,TBhypo3463.genome.CDS.1257,TBhypo3838.genome.CDS.770,TBhypo680.genome.CDS.2260",5
acI-B,group00184,"AAA023D18.genome.CDS.1088,AAA027J17.genome.CDS.1296,AAA027L06.genome.CDS.1939,AAA028A23.genome.CDS.1697,AAA278I18.genome.CDS.1756,acIB-AMD-6.genome.CDS.911,bin_7_acI-B2.genome.CDS.3630,MEint283.genome.CDS.1110,TBepi2057.genome.CDS.1216,TBepi2754.genome.CDS.1655,TBepi3207.genome.CDS.1539,TBepi3475.genome.CDS.1763,TBepi4208.genome.CDS.1545,TBhypo2152.genome.CDS.1567,TBhypo3463.genome.CDS.2154,TBhypo680.genome.CDS.2364",7
acI-B,group00185,"AAA027J17.genome.CDS.1217,AAA027L06.genome.CDS.2218,AAA028A23.genome.CDS.1155,AAA044D11.genome.CDS.1535,AAA278I18.genome.CDS.1348,acIB-AMD-7.genome.CDS.1755,bin_7_acI-B2.genome.CDS.3340,bin_7_acI-B2.genome.CDS.3995,MEint283.genome.CDS.1514,MEint4252.genome.CDS.1831,TBepi2057.genome.CDS.1310,TBepi2754.genome.CDS.2206,TBepi3207.genome.CDS.2136,TBepi3475.genome.CDS.1866,TBepi4208.genome.CDS.1742,TBhypo2152.genome.CDS.937,TBhypo3463.genome.CDS.2382,TBhypo680.genome.CDS.1402",2
acI-B,group00186,"AAA027J17.genome.CDS.1834,AAA027L06.genome.CDS.1855,AAA028A23.genome.CDS.1241,AAA044D11.genome.CDS.1979,AAA278I18.genome.CDS.1586,AB141P03.genome.CDS.1282,acIB-AMD-6.genome.CDS.730,acIB-AMD-6.genome.CDS.866,acIB-AMD-7.genome.CDS.1830,bin_7_acI-B2.genome.CDS.3747,MEint283.genome.CDS.1003,MEint4252.genome.CDS.1770,TBepi3207.genome.CDS.1358,TBepi3475.genome.CDS.1011,TBepi4208.genome.CDS.979,TBhypo3463.genome.CDS.1392,TBhypo3838.genome.CDS.958,TBhypo680.genome.CDS.1429",5
acI-B,group00187,"AAA023D18.genome.CDS.1276,AAA027J17.genome.CDS.1736,AAA027L06.genome.CDS.1958,AAA028A23.genome.CDS.1292,AAA044D11.genome.CDS.1362,AAA278I18.genome.CDS.1826,AB141P03.genome.CDS.1046,acIB-AMD-6.genome.CDS.831,acIB-AMD-6.genome.CDS.896,bin_7_acI-B2.genome.CDS.2060,bin_7_acI-B2.genome.CDS.3416,MEint283.genome.CDS.1267,MEint4252.genome.CDS.1825,MEint4252.genome.CDS.2290,TBepi2057.genome.CDS.1834,TBepi2754.genome.CDS.2074,TBepi3207.genome.CDS.1860,TBepi3475.genome.CDS.1734,TBepi4208.genome.CDS.1710,TBhypo2152.genome.CDS.1180,TBhypo3463.genome.CDS.1788",4
acI-B,group00190,"AAA028A23.genome.CDS.1230,AAA044D11.genome.CDS.1993,AAA278I18.genome.CDS.1596,acIB-AMD-6.genome.CDS.741,acIB-AMD-6.genome.CDS.855,acIB-AMD-7.genome.CDS.1138,MEint283.genome.CDS.1014,TBepi2057.genome.CDS.1161,TBepi2754.genome.CDS.2270,TBepi3207.genome.CDS.2373,TBepi3475.genome.CDS.1372,TBepi3475.genome.CDS.1442,TBepi4208.genome.CDS.1280,TBhypo2152.genome.CDS.1536,TBhypo3463.genome.CDS.1848,TBhypo3838.genome.CDS.590,TBhypo680.genome.CDS.2614",11
acI-B,group00191,"AAA023D18.genome.CDS.1131,AAA027J17.genome.CDS.2038,AAA027L06.genome.CDS.1442,AAA028A23.genome.CDS.1340,AAA044D11.genome.CDS.1804,AAA278I18.genome.CDS.1845,acIB-AMD-6.genome.CDS.1062,bin_7_acI-B2.genome.CDS.2093,bin_7_acI-B2.genome.CDS.3035,MEint283.genome.CDS.1377,MEint4252.genome.CDS.1703,TBepi2057.genome.CDS.1774,TBepi2754.genome.CDS.1544,TBepi4208.genome.CDS.1705,TBhypo3463.genome.CDS.1546,TBhypo3838.genome.CDS.734,TBhypo680.genome.CDS.2197",312
acI-B,group00192,"AAA027J17.genome.CDS.1836,AAA027L06.genome.CDS.1853,AAA028A23.genome.CDS.1243,AAA044D11.genome.CDS.1977,AAA278I18.genome.CDS.1584,AB141P03.genome.CDS.1093,acIB-AMD-6.genome.CDS.728,acIB-AMD-7.genome.CDS.1832,MEint283.genome.CDS.1001,MEint4252.genome.CDS.1764,TBepi2057.genome.CDS.1855,TBepi2754.genome.CDS.2474,TBepi3207.genome.CDS.2042,TBepi3475.genome.CDS.1013,TBepi4208.genome.CDS.1175,TBhypo2152.genome.CDS.1356,TBhypo3463.genome.CDS.1388,TBhypo680.genome.CDS.1573",19
acI-B,group00193,"AAA027J17.genome.CDS.1796,AAA027L06.genome.CDS.2069,AAA028A23.genome.CDS.1221,AAA044D11.genome.CDS.1650,AAA278I18.genome.CDS.1042,acIB-AMD-6.genome.CDS.880,acIB-AMD-7.genome.CDS.1149,bin_7_acI-B2.genome.CDS.3082,MEint283.genome.CDS.1018,MEint4252.genome.CDS.1276,MEint4252.genome.CDS.2049,TBepi2057.genome.CDS.1578,TBepi2754.genome.CDS.2112,TBepi3475.genome.CDS.1893,TBepi4208.genome.CDS.1374,TBhypo2152.genome.CDS.1659,TBhypo680.genome.CDS.1627",4
acI-B,group00194,"AAA023D18.genome.CDS.1285,AAA027J17.genome.CDS.1744,AAA027L06.genome.CDS.1394,AAA028A23.genome.CDS.1545,AAA044D11.genome.CDS.1354,AAA278I18.genome.CDS.1691,AB141P03.genome.CDS.1038,acIB-AMD-6.genome.CDS.839,acIB-AMD-6.genome.CDS.888,acIB-AMD-7.genome.CDS.1413,MEint283.genome.CDS.1275,MEint4252.genome.CDS.1419,MEint4252.genome.CDS.2282,TBepi2754.genome.CDS.1646,TBepi3207.genome.CDS.1689,TBepi3475.genome.CDS.1742,TBepi4208.genome.CDS.1949,TBhypo3463.genome.CDS.1987,TBhypo3463.genome.CDS.1988,TBhypo680.genome.CDS.1296",16
acI-B,group00195,"AAA027J17.genome.CDS.1684,AAA027L06.genome.CDS.1405,AAA028A23.genome.CDS.1636,AAA044D11.genome.CDS.1568,AAA278I18.genome.CDS.974,bin_7_acI-B2.genome.CDS.3062,MEint283.genome.CDS.905,MEint4252.genome.CDS.1751,TBepi2057.genome.CDS.1474,TBepi2754.genome.CDS.1418,TBepi3207.genome.CDS.2232,TBepi3475.genome.CDS.1887,TBepi4208.genome.CDS.1858,TBhypo2152.genome.CDS.1753,TBhypo3838.genome.CDS.773,TBhypo680.genome.CDS.2257",12
acI-B,group00196,"AAA027J17.genome.CDS.1261,AAA027L06.genome.CDS.1830,AAA028A23.genome.CDS.1426,AAA044D11.genome.CDS.1480,AAA278I18.genome.CDS.1561,AB141P03.genome.CDS.1070,acIB-AMD-6.genome.CDS.799,acIB-AMD-6.genome.CDS.652,acIB-AMD-7.genome.CDS.1216,bin_7_acI-B2.genome.CDS.3454,MEint283.genome.CDS.846,TBepi2057.genome.CDS.960,TBepi2754.genome.CDS.2561,TBepi3207.genome.CDS.2390,TBepi3475.genome.CDS.1460,TBepi4208.genome.CDS.1320,TBhypo2152.genome.CDS.1270,TBhypo3463.genome.CDS.2244,TBhypo680.genome.CDS.2593",50
acI-B,group00197,"AAA023D18.genome.CDS.1516,AAA027J17.genome.CDS.1257,AAA027L06.genome.CDS.1826,AAA028A23.genome.CDS.1422,AAA044D11.genome.CDS.1732,AAA278I18.genome.CDS.1557,AB141P03.genome.CDS.1066,acIB-AMD-6.genome.CDS.648,acIB-AMD-6.genome.CDS.803,acIB-AMD-7.genome.CDS.1220,MEint283.genome.CDS.842,MEint4252.genome.CDS.1910,TBepi2057.genome.CDS.1252,TBepi2754.genome.CDS.2416,TBepi3207.genome.CDS.1577,TBepi3475.genome.CDS.1837,TBepi4208.genome.CDS.1115,TBhypo2152.genome.CDS.1077,TBhypo680.genome.CDS.1728",1
acI-B,group00198,"AAA027J17.genome.CDS.1507,AAA027L06.genome.CDS.2150,AAA028A23.genome.CDS.1202,AAA044D11.genome.CDS.2182,AAA278I18.genome.CDS.1176,acIB-AMD-6.genome.CDS.779,acIB-AMD-7.genome.CDS.1801,acIB-AMD-7.genome.CDS.1975,bin_7_acI-B2.genome.CDS.3260,MEint283.genome.CDS.1146,MEint4252.genome.CDS.1177,TBepi2754.genome.CDS.2141,TBepi3475.genome.CDS.1065,TBepi4208.genome.CDS.1312,TBhypo2152.genome.CDS.1731,TBhypo680.genome.CDS.2021",11
acI-B,group00199,"AAA027J17.genome.CDS.1025,AAA027L06.genome.CDS.1229,AAA028A23.genome.CDS.1679,AAA278I18.genome.CDS.1477,AB141P03.genome.CDS.1179,acIB-AMD-6.genome.CDS.556,acIB-AMD-7.genome.CDS.1681,acIB-AMD-7.genome.CDS.1847,bin_7_acI-B2.genome.CDS.2708,MEint283.genome.CDS.1094,MEint4252.genome.CDS.1403,TBepi2057.genome.CDS.1933,TBepi2754.genome.CDS.1588,TBepi3207.genome.CDS.2222,TBepi3475.genome.CDS.1314,TBepi4208.genome.CDS.1014,TBhypo2152.genome.CDS.1108,TBhypo3463.genome.CDS.1813,TBhypo680.genome.CDS.1355",6
acI-B,group00201,"AAA027J17.genome.CDS.1048,AAA027L06.genome.CDS.1253,AAA028A23.genome.CDS.991,AAA044D11.genome.CDS.2214,AAA278I18.genome.CDS.1454,AB141P03.genome.CDS.768,AB141P03.genome.CDS.854,acIB-AMD-7.genome.CDS.1225,acIB-AMD-7.genome.CDS.1098,bin_7_acI-B2.genome.CDS.2778,MEint4252.genome.CDS.1499,MEint4252.genome.CDS.2217,TBepi2057.genome.CDS.787,TBepi2754.genome.CDS.2080,TBepi3207.genome.CDS.1649,TBepi3475.genome.CDS.978,TBepi4208.genome.CDS.1246,TBhypo2152.genome.CDS.1687",1
acI-B,group00202,"AAA027J17.genome.CDS.1140,AAA027L06.genome.CDS.2414,AAA028A23.genome.CDS.1654,AAA278I18.genome.CDS.1053,AB141P03.genome.CDS.1201,acIB-AMD-7.genome.CDS.1005,bin_7_acI-B2.genome.CDS.3967,MEint4252.genome.CDS.1140,TBepi2057.genome.CDS.1367,TBepi2754.genome.CDS.2280,TBepi3475.genome.CDS.1126,TBepi4208.genome.CDS.2006,TBhypo2152.genome.CDS.911,TBhypo680.genome.CDS.1948",6
acI-B,group00204,"AAA027J17.genome.CDS.1625,AAA027L06.genome.CDS.1592,AAA028A23.genome.CDS.1566,AAA044D11.genome.CDS.2231,AAA278I18.genome.CDS.983,acIB-AMD-6.genome.CDS.1049,acIB-AMD-7.genome.CDS.994,bin_7_acI-B2.genome.CDS.3069,MEint4252.genome.CDS.2098,TBepi2057.genome.CDS.1455,TBepi2754.genome.CDS.1411,TBepi3207.genome.CDS.1991,TBepi3475.genome.CDS.1858,TBepi4208.genome.CDS.1867,TBhypo2152.genome.CDS.1466,TBhypo3463.genome.CDS.1350,TBhypo680.genome.CDS.2249",20
acI-B,group00205,"AAA027J17.genome.CDS.1801,AAA027L06.genome.CDS.2074,AAA028A23.genome.CDS.1216,AAA044D11.genome.CDS.1645,AAA278I18.genome.CDS.1037,acIB-AMD-6.genome.CDS.874,bin_7_acI-B2.genome.CDS.3076,MEint283.genome.CDS.1023,MEint4252.genome.CDS.1281,TBepi2057.genome.CDS.1422,TBepi2754.genome.CDS.2107,TBepi3207.genome.CDS.1317,TBepi3475.genome.CDS.1557,TBepi4208.genome.CDS.1369,TBhypo2152.genome.CDS.1664,TBhypo3463.genome.CDS.2493,TBhypo3838.genome.CDS.642,TBhypo680.genome.CDS.1632",176
acI-B,group00206,"AAA023D18.genome.CDS.1086,AAA027J17.genome.CDS.1293,AAA027L06.genome.CDS.1936,AAA028A23.genome.CDS.1373,AAA278I18.genome.CDS.1753,acIB-AMD-6.genome.CDS.760,acIB-AMD-6.genome.CDS.908,bin_7_acI-B2.genome.CDS.3633,MEint283.genome.CDS.1107,TBepi2057.genome.CDS.1219,TBepi2754.genome.CDS.1657,TBepi3207.genome.CDS.1536,TBepi4208.genome.CDS.1548,TBhypo2152.genome.CDS.1057,TBhypo3463.genome.CDS.2157,TBhypo3838.genome.CDS.834,TBhypo680.genome.CDS.2361",4
acI-B,group00208,"AAA027J17.genome.CDS.1161,AAA027L06.genome.CDS.2435,AAA028A23.genome.CDS.860,AAA278I18.genome.CDS.1073,acIB-AMD-6.genome.CDS.1077,acIB-AMD-6.genome.CDS.170,acIB-AMD-7.genome.CDS.1364,acIB-AMD-7.genome.CDS.1025,acIB-AMD-7.genome.CDS.1900,MEint283.genome.CDS.956,TBepi2057.genome.CDS.1595,TBepi2754.genome.CDS.1512,TBepi3207.genome.CDS.2489,TBhypo2152.genome.CDS.1350,TBhypo3463.genome.CDS.2297,TBhypo680.genome.CDS.2222",15
acI-B,group00209,"AAA023D18.genome.CDS.815,AAA027J17.genome.CDS.1567,AAA027L06.genome.CDS.2106,AAA028A23.genome.CDS.1524,AAA044D11.genome.CDS.1868,AAA278I18.genome.CDS.1376,AB141P03.genome.CDS.1000,acIB-AMD-7.genome.CDS.1714,bin_7_acI-B2.genome.CDS.3538,MEint283.genome.CDS.1429,MEint4252.genome.CDS.2189,TBepi2754.genome.CDS.2779,TBepi3207.genome.CDS.2151,TBepi3475.genome.CDS.1630,TBepi4208.genome.CDS.1489,TBhypo2152.genome.CDS.1817,TBhypo3463.genome.CDS.2479,TBhypo3838.genome.CDS.843,TBhypo680.genome.CDS.2115",5
acI-B,group00211,"AAA023D18.genome.CDS.1478,AAA027J17.genome.CDS.1688,AAA027L06.genome.CDS.1409,AAA028A23.genome.CDS.1369,AAA044D11.genome.CDS.2236,AAA278I18.genome.CDS.970,AAA278I18.genome.CDS.1856,acIB-AMD-6.genome.CDS.1081,bin_7_acI-B2.genome.CDS.3058,MEint283.genome.CDS.901,MEint283.genome.CDS.907,MEint4252.genome.CDS.1747,TBepi2057.genome.CDS.1478,TBepi2754.genome.CDS.1422,TBepi3207.genome.CDS.2236,TBepi4208.genome.CDS.1744,TBhypo2152.genome.CDS.1757,TBhypo3463.genome.CDS.1258,TBhypo3838.genome.CDS.769,TBhypo680.genome.CDS.2262,TBhypo680.genome.CDS.2261",5
acI-B,group00212,"AAA023D18.genome.CDS.1503,AAA023D18.genome.CDS.1541,AAA027J17.genome.CDS.1528,AAA027L06.genome.CDS.2129,AAA028A23.genome.CDS.1181,AAA044D11.genome.CDS.1665,AAA278I18.genome.CDS.1155,acIB-AMD-6.genome.CDS.947,MEint4252.genome.CDS.1966,TBepi2057.genome.CDS.1676,TBepi2754.genome.CDS.2231,TBepi3207.genome.CDS.2016,TBepi4208.genome.CDS.1293,TBhypo2152.genome.CDS.1709,TBhypo2152.genome.CDS.1644,TBhypo3463.genome.CDS.2101,TBhypo3838.genome.CDS.905,TBhypo680.genome.CDS.2207",6
