,AAA023D18,AAA023J06,AAA024D14,AAA027J17,AAA027L06,AAA027M14,AAA028A23,AAA028E20,AAA028G02,AAA028I14,AAA041L13,AAA044D11,AAA044N04,AAA044O16,AAA278I18,AAA278O22,AB141P03,BIN_10,MEint1363,MEint2297,MEint283,MEint3864,MEint4252,MEint885,TBepi2057,TBepi2754,TBepi3207,TBepi3475,TBepi4208,TBhypo2152,TBhypo3463,TBhypo3838,TBhypo680,acIB-AMD-6,acIB-AMD-7,bin_7_acI-B2
group04374,,,,,,,,,,,AAA041L13.genome.CDS.2326,,,,,,,,,,,,,,,,,,,,,,,,,
group04375,,,,,,,,,,,AAA041L13.genome.CDS.2325,,,,,,,,,,,,,,,,,,,,,,,,,
group04376,,,,,,,,,,,AAA041L13.genome.CDS.2324,,,,,,,,,,,,,,,,,,,,,,,,,
group04377,,,,,,,,,,,AAA041L13.genome.CDS.2323,,,,,,,,,,,,,,,,,,,,,,,,,
group04378,,,,,,,,,,,AAA041L13.genome.CDS.2322,,,,,,,,,,,,,,,,,,,,,,,,,
group04379,,,,,,,,,,,AAA041L13.genome.CDS.2321,,,,,,,,,,,,,,,,,,,,,,,,,
group04380,,,,,,,,,,,AAA041L13.genome.CDS.2320,,,,,,,,,,,,,,,,,,,,,,,,,
group04381,,,,,,,,,,,AAA041L13.genome.CDS.2319,,,,,,,,,,,,,,,,,,,,,,,,,
group04382,,,,,,,,,,,AAA041L13.genome.CDS.2318,,,,,,,,,,,,,,,,,,,,,,,,,
group04383,,,,,,,,,,,AAA041L13.genome.CDS.2317,,,,,,,,,,,,,,,,,,,,,,,,,
group04384,,,,,,,,,,,AAA041L13.genome.CDS.2316,,,,,,,,,,,,,,,,,,,,,,,,,
group04385,,,,,,,,,,,AAA041L13.genome.CDS.2315,,,,,,,,,,,,,,,,,,,,,,,,,
group04386,,,,,,,,,,,AAA041L13.genome.CDS.2314,,,,,,,,,,,,,,,,,,,,,,,,,
group04387,,,,,,,,,,,AAA041L13.genome.CDS.2313,,,,,,,,,,,,,,,,,,,,,,,,,
group04388,,,,,,,,,,,AAA041L13.genome.CDS.2312,,,,,,,,,,,,,,,,,,,,,,,,,
group04389,,,,,,,,,,,AAA041L13.genome.CDS.2311,,,,,,,,,,,,,,,,,,,,,,,,,
group04390,,,,,,,,,,,AAA041L13.genome.CDS.2310,,,,,,,,,,,,,,,,,,,,,,,,,
group04391,,,,,,,,,,,AAA041L13.genome.CDS.2305,,,,,,,,,,,,,,,,,,,,,,,,,
group04392,,,,,,,,,,,AAA041L13.genome.CDS.2304,,,,,,,,,,,,,,,,,,,,,,,,,
group04393,,,,,,,,,,,AAA041L13.genome.CDS.2333,,,,,,,,,,,,,,,,,,,,,,,,,
group04394,,,,,,,,,,,AAA041L13.genome.CDS.935,,,,,,,,,,,,,,,,,,,,,,,,,
group04395,,,,,,,,,,,AAA041L13.genome.CDS.2429,,,,,,,,,,,,,,,,,,,,,,,,,
group04396,,,,,,,,,,,AAA041L13.genome.CDS.1663,,,,,,,,,,,,,,,,,,,,,,,,,
group04397,,,,,,,,,,,AAA041L13.genome.CDS.1659,,,,,,,,,,,,,,,,,,,,,,,,,
group04398,,,,,,,,,,,AAA041L13.genome.CDS.2469,,,,,,,,,,,,,,,,,,,,,,,,,
group04399,,,,,,,,,,,AAA041L13.genome.CDS.2515,,,,,,,,,,,,,,,,,,,,,,,,,
group04400,,,,,,,,,,,AAA041L13.genome.CDS.2514,,,,,,,,,,,,,,,,,,,,,,,,,
group04401,,,,,,,,,,,AAA041L13.genome.CDS.2513,,,,,,,,,,,,,,,,,,,,,,,,,
group04402,,,,,,,,,,,AAA041L13.genome.CDS.2512,,,,,,,,,,,,,,,,,,,,,,,,,
group04403,,,,,,,,,,,AAA041L13.genome.CDS.1034,,,,,,,,,,,,,,,,,,,,,,,,,
group04404,,,,,,,,,,,AAA041L13.genome.CDS.2507,,,,,,,,,,,,,,,,,,,,,,,,,
group04405,,,,,,,,,,,AAA041L13.genome.CDS.2506,,,,,,,,,,,,,,,,,,,,,,,,,
group04406,,,,,,,,,,,AAA041L13.genome.CDS.2505,,,,,,,,,,,,,,,,,,,,,,,,,
group04407,,,,,,,,,,,AAA041L13.genome.CDS.2503,,,,,,,,,,,,,,,,,,,,,,,,,
group04408,,,,,,,,,,,AAA041L13.genome.CDS.2502,,,,,,,,,,,,,,,,,,,,,,,,,
group04409,,,,,,,,,,,AAA041L13.genome.CDS.2501,,,,,,,,,,,,,,,,,,,,,,,,,
group04410,,,,,,,,,,,AAA041L13.genome.CDS.2500,,,,,,,,,,,,,,,,,,,,,,,,,
group04411,,,,,,,,,,,AAA041L13.genome.CDS.2499,,,,,,,,,,,,,,,,,,,,,,,,,
group04412,,,,,,,,,,,AAA041L13.genome.CDS.2498,,,,,,,,,,,,,,,,,,,,,,,,,
group04413,,,,,,,,,,,AAA041L13.genome.CDS.2496,,,,,,,,,,,,,,,,,,,,,,,,,
group04414,,,,,,,,,,,AAA041L13.genome.CDS.2495,,,,,,,,,,,,,,,,,,,,,,,,,
group04415,,,,,,,,,,,AAA041L13.genome.CDS.2494,,,,,,,,,,,,,,,,,,,,,,,,,
group04416,,,,,,,,,,,AAA041L13.genome.CDS.2489,,,,,,,,,,,,,,,,,,,,,,,,,
group04417,,,,,,,,,,,AAA041L13.genome.CDS.2487,,,,,,,,,,,,,,,,,,,,,,,,,
group04418,,,,,,,,,,,AAA041L13.genome.CDS.2486,,,,,,,,,,,,,,,,,,,,,,,,,
group04419,,,,,,,,,,,AAA041L13.genome.CDS.2485,,,,,,,,,,,,,,,,,,,,,,,,,
group04420,,,,,,,,,,,AAA041L13.genome.CDS.2484,,,,,,,,,,,,,,,,,,,,,,,,,
group04421,,,,,,,,,,,AAA041L13.genome.CDS.2552,,,,,,,,,,,,,,,,,,,,,,,,,
group04422,,,,,,,,,,,AAA041L13.genome.CDS.2551,,,,,,,,,,,,,,,,,,,,,,,,,
group04423,,,,,,,,,,,AAA041L13.genome.CDS.2550,,,,,,,,,,,,,,,,,,,,,,,,,
group04424,,,,,,,,,,,AAA041L13.genome.CDS.2549,,,,,,,,,,,,,,,,,,,,,,,,,
group04425,,,,,,,,,,,AAA041L13.genome.CDS.2548,,,,,,,,,,,,,,,,,,,,,,,,,
group04426,,,,,,,,,,,AAA041L13.genome.CDS.2547,,,,,,,,,,,,,,,,,,,,,,,,,
group04427,,,,,,,,,,,AAA041L13.genome.CDS.2545,,,,,,,,,,,,,,,,,,,,,,,,,
group04428,,,,,,,,,,,AAA041L13.genome.CDS.2544,,,,,,,,,,,,,,,,,,,,,,,,,
group04429,,,,,,,,,,,AAA041L13.genome.CDS.2538,,,,,,,,,,,,,,,,,,,,,,,,,
group04430,,,,,,,,,,,AAA041L13.genome.CDS.2537,,,,,,,,,,,,,,,,,,,,,,,,,
group04431,,,,,,,,,,,AAA041L13.genome.CDS.2564,,,,,,,,,,,,,,,,,,,,,,,,,
group04432,,,,,,,,,,,AAA041L13.genome.CDS.2563,,,,,,,,,,,,,,,,,,,,,,,,,
group04433,,,,,,,,,,,AAA041L13.genome.CDS.2562,,,,,,,,,,,,,,,,,,,,,,,,,
group04434,,,,,,,,,,,AAA041L13.genome.CDS.2561,,,,,,,,,,,,,,,,,,,,,,,,,
group04435,,,,,,,,,,,AAA041L13.genome.CDS.2560,,,,,,,,,,,,,,,,,,,,,,,,,
group04436,,,,,,,,,,,AAA041L13.genome.CDS.2559,,,,,,,,,,,,,,,,,,,,,,,,,
group04437,,,,,,,,,,,AAA041L13.genome.CDS.2558,,,,,,,,,,,,,,,,,,,,,,,,,
group04438,,,,,,,,,,,AAA041L13.genome.CDS.2557,,,,,,,,,,,,,,,,,,,,,,,,,
group04439,,,,,,,,,,,AAA041L13.genome.CDS.2556,,,,,,,,,,,,,,,,,,,,,,,,,
group04440,,,,,,,,,,,AAA041L13.genome.CDS.2555,,,,,,,,,,,,,,,,,,,,,,,,,
group04441,,,,,,,,,,,AAA041L13.genome.CDS.2554,,,,,,,,,,,,,,,,,,,,,,,,,
group04442,,,,,,,,,,,AAA041L13.genome.CDS.2572,,,,,,,,,,,,,,,,,,,,,,,,,
group04443,,,,,,,,,,,AAA041L13.genome.CDS.2582,,,,,,,,,,,,,,,,,,,,,,,,,
group04444,,,,,,,,,,,AAA041L13.genome.CDS.2581,,,,,,,,,,,,,,,,,,,,,,,,,
group04445,,,,,,,,,,,AAA041L13.genome.CDS.2580,,,,,,,,,,,,,,,,,,,,,,,,,
group04446,,,,,,,,,,,AAA041L13.genome.CDS.1098,,,,,,,,,,,,,,,,,,,,,,,,,
group04447,,,,,,,,,,,AAA041L13.genome.CDS.2597,,,,,,,,,,,,,,,,,,,,,,,,,
group04448,,,,,,,,,,,AAA041L13.genome.CDS.2610,,,,,,,,,,,,,,,,,,,,,,,,,
group04449,,,,,,,,,,,AAA041L13.genome.CDS.2627,,,,,,,,,,,,,,,,,,,,,,,,,
group04450,,,,,,,,,,,AAA041L13.genome.CDS.2625,,,,,,,,,,,,,,,,,,,,,,,,,
group04451,,,,,,,,,,,AAA041L13.genome.CDS.2624,,,,,,,,,,,,,,,,,,,,,,,,,
group04452,,,,,,,,,,,AAA041L13.genome.CDS.2623,,,,,,,,,,,,,,,,,,,,,,,,,
group04453,,,,,,,,,,,AAA041L13.genome.CDS.2621,,,,,,,,,,,,,,,,,,,,,,,,,
group04454,,,,,,,,,,,AAA041L13.genome.CDS.2619,,,,,,,,,,,,,,,,,,,,,,,,,
group04455,,,,,,,,,,,AAA041L13.genome.CDS.2618,,,,,,,,,,,,,,,,,,,,,,,,,
group04456,,,,,,,,,,,AAA041L13.genome.CDS.2617,,,,,,,,,,,,,,,,,,,,,,,,,
group04457,,,,,,,,,,,AAA041L13.genome.CDS.2616,,,,,,,,,,,,,,,,,,,,,,,,,
group04458,,,,,,,,,,,AAA041L13.genome.CDS.2615,,,,,,,,,,,,,,,,,,,,,,,,,
group04459,,,,,,,,,,,AAA041L13.genome.CDS.2613,,,,,,,,,,,,,,,,,,,,,,,,,
group04460,,,,,,,,,,,AAA041L13.genome.CDS.2612,,,,,,,,,,,,,,,,,,,,,,,,,
group04461,,,,,,,,,,,AAA041L13.genome.CDS.2611,,,,,,,,,,,,,,,,,,,,,,,,,
group04462,,,,,,,,,,,AAA041L13.genome.CDS.1160,,,,,,,,,,,,,,,,,,,,,,,,,
group04463,,,,,,,,,,,AAA041L13.genome.CDS.2632,,,,,,,,,,,,,,,,,,,,,,,,,
group04464,,,,,,,,,,,AAA041L13.genome.CDS.2628,,,,,,,,,,,,,,,,,,,,,,,,,
group04465,,,,,,,,,,,AAA041L13.genome.CDS.2662,,,,,,,,,,,,,,,,,,,,,,,,,
group04466,,,,,,,,,,,AAA041L13.genome.CDS.2661,,,,,,,,,,,,,,,,,,,,,,,,,
group04467,,,,,,,,,,,AAA041L13.genome.CDS.2660,,,,,,,,,,,,,,,,,,,,,,,,,
group04468,,,,,,,,,,,AAA041L13.genome.CDS.2659,,,,,,,,,,,,,,,,,,,,,,,,,
group04469,,,,,,,,,,,AAA041L13.genome.CDS.2658,,,,,,,,,,,,,,,,,,,,,,,,,
group04470,,,,,,,,,,,AAA041L13.genome.CDS.2656,,,,,,,,,,,,,,,,,,,,,,,,,
group04471,,,,,,,,,,,AAA041L13.genome.CDS.2655,,,,,,,,,,,,,,,,,,,,,,,,,
group04472,,,,,,,,,,,AAA041L13.genome.CDS.2653,,,,,,,,,,,,,,,,,,,,,,,,,
group04473,,,,,,,,,,,AAA041L13.genome.CDS.1184,,,,,,,,,,,,,,,,,,,,,,,,,
group04474,,,,,,,,,,,AAA041L13.genome.CDS.2665,,,,,,,,,,,,,,,,,,,,,,,,,
group04475,,,,,,,,,,,AAA041L13.genome.CDS.2664,,,,,,,,,,,,,,,,,,,,,,,,,
group04476,,,,,,,,,,,AAA041L13.genome.CDS.2679,,,,,,,,,,,,,,,,,,,,,,,,,
group04477,,,,,,,,,,,AAA041L13.genome.CDS.2680,,,,,,,,,,,,,,,,,,,,,,,,,
group04478,,,,,,,,,,,AAA041L13.genome.CDS.2690,,,,,,,,,,,,,,,,,,,,,,,,,
group04479,,,,,,,,,,,AAA041L13.genome.CDS.2689,,,,,,,,,,,,,,,,,,,,,,,,,
group04480,,,,,,,,,,,AAA041L13.genome.CDS.2695,,,,,,,,,,,,,,,,,,,,,,,,,
group04481,,,,,,,,,,,AAA041L13.genome.CDS.2708,,,,,,,,,,,,,,,,,,,,,,,,,
group04482,,,,,,,,,,,AAA041L13.genome.CDS.2707,,,,,,,,,,,,,,,,,,,,,,,,,
group04483,,,,,,,,,,,AAA041L13.genome.CDS.2706,,,,,,,,,,,,,,,,,,,,,,,,,
group04484,,,,,,,,,,,AAA041L13.genome.CDS.2705,,,,,,,,,,,,,,,,,,,,,,,,,
group04485,,,,,,,,,,,AAA041L13.genome.CDS.2704,,,,,,,,,,,,,,,,,,,,,,,,,
group04486,,,,,,,,,,,AAA041L13.genome.CDS.2703,,,,,,,,,,,,,,,,,,,,,,,,,
group04487,,,,,,,,,,,AAA041L13.genome.CDS.2701,,,,,,,,,,,,,,,,,,,,,,,,,
group04488,,,,,,,,,,,AAA041L13.genome.CDS.2700,,,,,,,,,,,,,,,,,,,,,,,,,
group04489,,,,,,,,,,,AAA041L13.genome.CDS.2699,,,,,,,,,,,,,,,,,,,,,,,,,
group04490,,,,,,,,,,,AAA041L13.genome.CDS.2698,,,,,,,,,,,,,,,,,,,,,,,,,
group04491,,,,,,,,,,,AAA041L13.genome.CDS.2709,,,,,,,,,,,,,,,,,,,,,,,,,
group04492,,,,,,,,,,,AAA041L13.genome.CDS.2726,,,,,,,,,,,,,,,,,,,,,,,,,
group04493,,,,,,,,,,,AAA041L13.genome.CDS.2725,,,,,,,,,,,,,,,,,,,,,,,,,
group04494,,,,,,,,,,,AAA041L13.genome.CDS.2724,,,,,,,,,,,,,,,,,,,,,,,,,
group04495,,,,,,,,,,,AAA041L13.genome.CDS.2723,,,,,,,,,,,,,,,,,,,,,,,,,
group04496,,,,,,,,,,,AAA041L13.genome.CDS.2722,,,,,,,,,,,,,,,,,,,,,,,,,
group04497,,,,,,,,,,,AAA041L13.genome.CDS.2720,,,,,,,,,,,,,,,,,,,,,,,,,
group04498,,,,,,,,,,,AAA041L13.genome.CDS.2719,,,,,,,,,,,,,,,,,,,,,,,,,
group04499,,,,,,,,,,,AAA041L13.genome.CDS.2739,,,,,,,,,,,,,,,,,,,,,,,,,
group04500,,,,,,,,,,,AAA041L13.genome.CDS.2738,,,,,,,,,,,,,,,,,,,,,,,,,
group04501,,,,,,,,,,,AAA041L13.genome.CDS.2737,,,,,,,,,,,,,,,,,,,,,,,,,
group04502,,,,,,,,,,,AAA041L13.genome.CDS.2736,,,,,,,,,,,,,,,,,,,,,,,,,
group04503,,,,,,,,,,,AAA041L13.genome.CDS.2735,,,,,,,,,,,,,,,,,,,,,,,,,
group04504,,,,,,,,,,,AAA041L13.genome.CDS.2734,,,,,,,,,,,,,,,,,,,,,,,,,
group04505,,,,,,,,,,,AAA041L13.genome.CDS.2733,,,,,,,,,,,,,,,,,,,,,,,,,
group04506,,,,,,,,,,,AAA041L13.genome.CDS.2731,,,,,,,,,,,,,,,,,,,,,,,,,
group04507,,,,,,,,,,,AAA041L13.genome.CDS.2730,,,,,,,,,,,,,,,,,,,,,,,,,
group04508,,,,,,,,,,,AAA041L13.genome.CDS.2729,,,,,,,,,,,,,,,,,,,,,,,,,
group04509,,,,,,,,,,,AAA041L13.genome.CDS.2747,,,,,,,,,,,,,,,,,,,,,,,,,
group04510,,,,,,,,,,,AAA041L13.genome.CDS.2748,,,,,,,,,,,,,,,,,,,,,,,,,
group04511,,,,,,,,,,,AAA041L13.genome.CDS.1269,,,,,,,,,,,,,,,,,,,,,,,,,
group04512,,,,,,,,,,,AAA041L13.genome.CDS.2778,,,,,,,,,,,,,,,,,,,,,,,,,
group04513,,,,,,,,,,,AAA041L13.genome.CDS.2781,,,,,,,,,,,,,,,,,,,,,,,,,
group04514,,,,,,,,,,,AAA041L13.genome.CDS.2779,,,,,,,,,,,,,,,,,,,,,,,,,
group04515,,,,,,,,,,,AAA041L13.genome.CDS.1300,,,,,,,,,,,,,,,,,,,,,,,,,
group04516,,,,,,,,,,,AAA041L13.genome.CDS.2790,,,,,,,,,,,,,,,,,,,,,,,,,
group04517,,,,,,,,,,,AAA041L13.genome.CDS.2789,,,,,,,,,,,,,,,,,,,,,,,,,
group04518,,,,,,,,,,,AAA041L13.genome.CDS.1296,,,,,,,,,,,,,,,,,,,,,,,,,
group04519,,,,,,,,,,,AAA041L13.genome.CDS.2786,,,,,,,,,,,,,,,,,,,,,,,,,
group04520,,,,,,,,,,,AAA041L13.genome.CDS.1827,,,,,,,,,,,,,,,,,,,,,,,,,
group04521,,,,,,,,,,,AAA041L13.genome.CDS.1778,,,,,,,,,,,,,,,,,,,,,,,,,
group04522,,,,,,,,,,,AAA041L13.genome.CDS.2822,,,,,,,,,,,,,,,,,,,,,,,,,
group04523,,,,,,,,,,,AAA041L13.genome.CDS.2821,,,,,,,,,,,,,,,,,,,,,,,,,
group04524,,,,,,,,,,,AAA041L13.genome.CDS.2820,,,,,,,,,,,,,,,,,,,,,,,,,
group04525,,,,,,,,,,,AAA041L13.genome.CDS.2819,,,,,,,,,,,,,,,,,,,,,,,,,
group04526,,,,,,,,,,,AAA041L13.genome.CDS.2818,,,,,,,,,,,,,,,,,,,,,,,,,
group04527,,,,,,,,,,,AAA041L13.genome.CDS.2817,,,,,,,,,,,,,,,,,,,,,,,,,
group04528,,,,,,,,,,,AAA041L13.genome.CDS.2816,,,,,,,,,,,,,,,,,,,,,,,,,
group04529,,,,,,,,,,,AAA041L13.genome.CDS.2815,,,,,,,,,,,,,,,,,,,,,,,,,
group04530,,,,,,,,,,,AAA041L13.genome.CDS.2814,,,,,,,,,,,,,,,,,,,,,,,,,
group04531,,,,,,,,,,,AAA041L13.genome.CDS.2813,,,,,,,,,,,,,,,,,,,,,,,,,
group04532,,,,,,,,,,,AAA041L13.genome.CDS.2825,,,,,,,,,,,,,,,,,,,,,,,,,
group04533,,,,,,,,,,,AAA041L13.genome.CDS.2827,,,,,,,,,,,,,,,,,,,,,,,,,
group04534,,,,,,,,,,,AAA041L13.genome.CDS.2839,,,,,,,,,,,,,,,,,,,,,,,,,
group04535,,,,,,,,,,,AAA041L13.genome.CDS.2838,,,,,,,,,,,,,,,,,,,,,,,,,
group04536,,,,,,,,,,,AAA041L13.genome.CDS.2837,,,,,,,,,,,,,,,,,,,,,,,,,
group04537,,,,,,,,,,,AAA041L13.genome.CDS.2836,,,,,,,,,,,,,,,,,,,,,,,,,
group04538,,,,,,,,,,,AAA041L13.genome.CDS.2835,,,,,,,,,,,,,,,,,,,,,,,,,
group04539,,,,,,,,,,,AAA041L13.genome.CDS.2832,,,,,,,,,,,,,,,,,,,,,,,,,
group04540,,,,,,,,,,,AAA041L13.genome.CDS.2831,,,,,,,,,,,,,,,,,,,,,,,,,
group04541,,,,,,,,,,,AAA041L13.genome.CDS.2830,,,,,,,,,,,,,,,,,,,,,,,,,
group04542,,,,,,,,,,,AAA041L13.genome.CDS.2845,,,,,,,,,,,,,,,,,,,,,,,,,
group04543,,,,,,,,,,,AAA041L13.genome.CDS.2844,,,,,,,,,,,,,,,,,,,,,,,,,
group04544,,,,,,,,,,,AAA041L13.genome.CDS.2843,,,,,,,,,,,,,,,,,,,,,,,,,
group04545,,,,,,,,,,,AAA041L13.genome.CDS.2851,,,,,,,,,,,,,,,,,,,,,,,,,
group04546,,,,,,,,,,,AAA041L13.genome.CDS.2850,,,,,,,,,,,,,,,,,,,,,,,,,
group04547,,,,,,,,,,,AAA041L13.genome.CDS.2849,,,,,,,,,,,,,,,,,,,,,,,,,
group04548,,,,,,,,,,,AAA041L13.genome.CDS.2857,,,,,,,,,,,,,,,,,,,,,,,,,
group04549,,,,,,,,,,,AAA041L13.genome.CDS.2865,,,,,,,,,,,,,,,,,,,,,,,,,
group04550,,,,,,,,,,,AAA041L13.genome.CDS.2864,,,,,,,,,,,,,,,,,,,,,,,,,
group04551,,,,,,,,,,,AAA041L13.genome.CDS.2863,,,,,,,,,,,,,,,,,,,,,,,,,
group04552,,,,,,,,,,,AAA041L13.genome.CDS.2862,,,,,,,,,,,,,,,,,,,,,,,,,
group04553,,,,,,,,,,,AAA041L13.genome.CDS.2868,,,,,,,,,,,,,,,,,,,,,,,,,
group04554,,,,,,,,,,,AAA041L13.genome.CDS.2866,,,,,,,,,,,,,,,,,,,,,,,,,
group04555,,,,,,,,,,,AAA041L13.genome.CDS.2871,,,,,,,,,,,,,,,,,,,,,,,,,
group04556,,,,,,,,,,,AAA041L13.genome.CDS.2870,,,,,,,,,,,,,,,,,,,,,,,,,
group04557,,,,,,,,,,,AAA041L13.genome.CDS.2879,,,,,,,,,,,,,,,,,,,,,,,,,
group04558,,,,,,,,,,,AAA041L13.genome.CDS.2878,,,,,,,,,,,,,,,,,,,,,,,,,
group04559,,,,,,,,,,,AAA041L13.genome.CDS.2876,,,,,,,,,,,,,,,,,,,,,,,,,
group04560,,,,,,,,,,,AAA041L13.genome.CDS.2875,,,,,,,,,,,,,,,,,,,,,,,,,
group04561,,,,,,,,,,,AAA041L13.genome.CDS.2883,,,,,,,,,,,,,,,,,,,,,,,,,
group04562,,,,,,,,,,,AAA041L13.genome.CDS.2882,,,,,,,,,,,,,,,,,,,,,,,,,
group04563,,,,,,,,,,,AAA041L13.genome.CDS.1369,,,,,,,,,,,,,,,,,,,,,,,,,
group04564,,,,,,,,,,,AAA041L13.genome.CDS.1368,,,,,,,,,,,,,,,,,,,,,,,,,
group04565,,,,,,,,,,,AAA041L13.genome.CDS.2888,,,,,,,,,,,,,,,,,,,,,,,,,
group04566,,,,,,,,,,,AAA041L13.genome.CDS.2895,,,,,,,,,,,,,,,,,,,,,,,,,
group04567,,,,,,,,,,,AAA041L13.genome.CDS.2894,,,,,,,,,,,,,,,,,,,,,,,,,
group04568,,,,,,,,,,,AAA041L13.genome.CDS.2893,,,,,,,,,,,,,,,,,,,,,,,,,
group04569,,,,,,,,,,,AAA041L13.genome.CDS.2899,,,,,,,,,,,,,,,,,,,,,,,,,
group04570,,,,,,,,,,,AAA041L13.genome.CDS.2898,,,,,,,,,,,,,,,,,,,,,,,,,
group04571,,,,,,,,,,,AAA041L13.genome.CDS.2897,,,,,,,,,,,,,,,,,,,,,,,,,
group04572,,,,,,,,,,,AAA041L13.genome.CDS.2896,,,,,,,,,,,,,,,,,,,,,,,,,
group04573,,,,,,,,,,,AAA041L13.genome.CDS.2910,,,,,,,,,,,,,,,,,,,,,,,,,
group04574,,,,,,,,,,,AAA041L13.genome.CDS.2909,,,,,,,,,,,,,,,,,,,,,,,,,
group04575,,,,,,,,,,,AAA041L13.genome.CDS.1391,,,,,,,,,,,,,,,,,,,,,,,,,
group04576,,,,,,,,,,,AAA041L13.genome.CDS.2906,,,,,,,,,,,,,,,,,,,,,,,,,
group04577,,,,,,,,,,,AAA041L13.genome.CDS.2905,,,,,,,,,,,,,,,,,,,,,,,,,
group04578,,,,,,,,,,,AAA041L13.genome.CDS.2917,,,,,,,,,,,,,,,,,,,,,,,,,
group04579,,,,,,,,,,,AAA041L13.genome.CDS.2926,,,,,,,,,,,,,,,,,,,,,,,,,
group04580,,,,,,,,,,,AAA041L13.genome.CDS.2924,,,,,,,,,,,,,,,,,,,,,,,,,
group04581,,,,,,,,,,,AAA041L13.genome.CDS.2923,,,,,,,,,,,,,,,,,,,,,,,,,
group04582,,,,,,,,,,,AAA041L13.genome.CDS.2922,,,,,,,,,,,,,,,,,,,,,,,,,
group04583,,,,,,,,,,,AAA041L13.genome.CDS.2921,,,,,,,,,,,,,,,,,,,,,,,,,
group04584,,,,,,,,,,,AAA041L13.genome.CDS.2929,,,,,,,,,,,,,,,,,,,,,,,,,
group04585,,,,,,,,,,,AAA041L13.genome.CDS.2928,,,,,,,,,,,,,,,,,,,,,,,,,
group04586,,,,,,,,,,,AAA041L13.genome.CDS.2927,,,,,,,,,,,,,,,,,,,,,,,,,
group04587,,,,,,,,,,,AAA041L13.genome.CDS.1414,,,,,,,,,,,,,,,,,,,,,,,,,
group04588,,,,,,,,,,,AAA041L13.genome.CDS.2935,,,,,,,,,,,,,,,,,,,,,,,,,
group04589,,,,,,,,,,,AAA041L13.genome.CDS.2934,,,,,,,,,,,,,,,,,,,,,,,,,
group04590,,,,,,,,,,,AAA041L13.genome.CDS.2932,,,,,,,,,,,,,,,,,,,,,,,,,
group04591,,,,,,,,,,,AAA041L13.genome.CDS.1417,,,,,,,,,,,,,,,,,,,,,,,,,
group04592,,,,,,,,,,,AAA041L13.genome.CDS.1419,,,,,,,,,,,,,,,,,,,,,,,,,
group04593,,,,,,,,,,,AAA041L13.genome.CDS.2940,,,,,,,,,,,,,,,,,,,,,,,,,
group04594,,,,,,,,,,,AAA041L13.genome.CDS.1959,,,,,,,,,,,,,,,,,,,,,,,,,
group04595,,,,,,,,,,,AAA041L13.genome.CDS.517,,,,,,,,,,,,,,,,,,,,,,,,,
group04596,,,,,,,,,,,AAA041L13.genome.CDS.513,,,,,,,,,,,,,,,,,,,,,,,,,
group04597,,,,,,,,,,,AAA041L13.genome.CDS.1921,,,,,,,,,,,,,,,,,,,,,,,,,
group04598,,,,,,,,,,,AAA041L13.genome.CDS.2945,,,,,,,,,,,,,,,,,,,,,,,,,
group04599,,,,,,,,,,,AAA041L13.genome.CDS.2944,,,,,,,,,,,,,,,,,,,,,,,,,
group04600,,,,,,,,,,,AAA041L13.genome.CDS.2943,,,,,,,,,,,,,,,,,,,,,,,,,
group04601,,,,,,,,,,,AAA041L13.genome.CDS.2951,,,,,,,,,,,,,,,,,,,,,,,,,
group04602,,,,,,,,,,,AAA041L13.genome.CDS.1427,,,,,,,,,,,,,,,,,,,,,,,,,
group04603,,,,,,,,,,,AAA041L13.genome.CDS.2957,,,,,,,,,,,,,,,,,,,,,,,,,
group04604,,,,,,,,,,,AAA041L13.genome.CDS.2956,,,,,,,,,,,,,,,,,,,,,,,,,
group04605,,,,,,,,,,,AAA041L13.genome.CDS.2960,,,,,,,,,,,,,,,,,,,,,,,,,
group04606,,,,,,,,,,,AAA041L13.genome.CDS.2959,,,,,,,,,,,,,,,,,,,,,,,,,
group04607,,,,,,,,,,,AAA041L13.genome.CDS.2964,,,,,,,,,,,,,,,,,,,,,,,,,
group04608,,,,,,,,,,,AAA041L13.genome.CDS.2963,,,,,,,,,,,,,,,,,,,,,,,,,
group04609,,,,,,,,,,AAA028I14.genome.CDS.795,,,,,,,,,,,,,,,,,,,,,,,,,,
group04610,,,,,,,,,,AAA028I14.genome.CDS.794,,,,,,,,,,,,,,,,,,,,,,,,,,
group04611,,,,,,,,,,AAA028I14.genome.CDS.793,,,,,,,,,,,,,,,,,,,,,,,,,,
group04612,,,,,,,,,,AAA028I14.genome.CDS.987,,,,,,,,,,,,,,,,,,,,,,,,,,
group04613,,,,,,,,,,AAA028I14.genome.CDS.986,,,,,,,,,,,,,,,,,,,,,,,,,,
group04614,,,,,,,,,,AAA028I14.genome.CDS.995,,,,,,,,,,,,,,,,,,,,,,,,,,
group04615,,,,,,,,,,AAA028I14.genome.CDS.1029,,,,,,,,,,,,,,,,,,,,,,,,,,
group04616,,,,,,,,,,AAA028I14.genome.CDS.232,,,,,,,,,,,,,,,,,,,,,,,,,,
group04617,,,,,,,,,,AAA028I14.genome.CDS.1046,,,,,,,,,,,,,,,,,,,,,,,,,,
group04618,,,,,,,,,,AAA028I14.genome.CDS.252,,,,,,,,,,,,,,,,,,,,,,,,,,
